iter	RMSE
0	0.5295204673
1	0.5295057001
2	0.5294781707
3	0.5294519915
4	0.5294334101
5	0.5294065491
6	0.5293834945
7	0.5293583744
8	0.529329299
9	0.529318073
10	0.5292956391
11	0.5292748087
12	0.5292513147
13	0.5292352027
14	0.5292223983
15	0.5292067115
16	0.5291887103
17	0.5291730147
18	0.5291641797
19	0.5291470696
20	0.5291314654
21	0.5291154093
22	0.5290990162
23	0.5290722766
24	0.5290567457
25	0.5290399135
26	0.5290275182
27	0.5290198622
28	0.5290101093
29	0.5289956391
30	0.5289821545
31	0.5289707263
32	0.5289659214
33	0.5289525927
34	0.5289298436
35	0.5289170108
36	0.5289126558
37	0.5288977035
38	0.528890686
39	0.5288835132
40	0.5288693608
41	0.5288598495
42	0.5288463804
43	0.5288232623
44	0.5288103786
45	0.5287942582
46	0.5287850449
47	0.5287733117
48	0.5287427009
49	0.5287308899
50	0.5287128317
51	0.5286982451
52	0.5286853473
53	0.5286770973
54	0.5286575502
55	0.5286410743
56	0.5286171065
57	0.5286105147
58	0.5286003906
59	0.5285829709
60	0.5285726302
61	0.5285633539
62	0.5285543583
63	0.5285396849
64	0.5285315613
65	0.5285223646
66	0.5285074514
67	0.5284831002
68	0.5284718253
69	0.5284603731
70	0.528452341
71	0.5284432134
72	0.5284306151
73	0.528422543
74	0.5284197271
75	0.528402109
76	0.5283945433
77	0.5283772211
78	0.5283680246
79	0.5283560084
80	0.5283480367
81	0.5283390479
82	0.5283324617
83	0.5283172698
84	0.5283010048
85	0.5282844932
86	0.5282769887
87	0.5282696416
88	0.5282415188
89	0.5282334577
90	0.5282121132
91	0.5282085761
92	0.5281929197
93	0.5281818095
94	0.5281609586
95	0.5281527398
96	0.5281495009
97	0.5281311603
98	0.5281226699
99	0.5281089942
100	0.5280909488
101	0.5280770002
102	0.5280591061
103	0.5280481497
104	0.5280366946
105	0.5280289024
106	0.5280181414
107	0.5280075704
108	0.5279844049
109	0.527977062
110	0.5279570977
111	0.5279462393
112	0.5279270993
113	0.5279058132
114	0.5278925751
115	0.5278843576
116	0.5278774758
117	0.5278594093
118	0.527845276
119	0.5278306561
120	0.5278196141
121	0.5277988005
122	0.5277842052
123	0.527772306
124	0.5277557979
125	0.5277460577
126	0.5277309825
127	0.5277190764
128	0.5277083358
129	0.5277029779
130	0.5276876716
131	0.5276805934
132	0.5276652723
133	0.5276539046
134	0.5276367331
135	0.5276237391
136	0.5276104927
137	0.5275917952
138	0.5275736962
139	0.5275587491
140	0.5275457839
141	0.5275338647
142	0.5275215538
143	0.5275033988
144	0.5274970204
145	0.5274822374
146	0.5274677932
147	0.5274502838
148	0.5274412876
149	0.5274333137
150	0.5274184602
151	0.5274074209
152	0.5273921965
153	0.5273841524
154	0.5273580665
155	0.5273490679
156	0.5273457824
157	0.5273367262
158	0.5273257864
159	0.5273102021
160	0.5272937749
161	0.5272715871
162	0.52725289
163	0.5272482275
164	0.5272364317
165	0.5272224456
166	0.5272069432
167	0.5271972607
168	0.5271711502
169	0.5271569991
170	0.5271410996
171	0.5271366828
172	0.527126608
173	0.5271189715
174	0.5271039513
175	0.5271012127
176	0.5270903202
177	0.5270778173
178	0.5270611848
179	0.5270488624
180	0.52702742
181	0.5270207319
182	0.5270136522
183	0.5270064533
184	0.5269843742
185	0.5269730469
