iter	Passed	Remaining
0	61	61066
1	122	61174
2	181	60265
3	242	60490
4	301	60044
5	354	58811
6	412	58559
7	474	58885
8	528	58213
9	583	57751
10	653	58717
11	716	58961
12	771	58545
13	832	58600
14	888	58371
15	960	59041
16	1026	59381
17	1091	59520
18	1146	59201
19	1205	59080
20	1269	59205
21	1331	59188
22	1387	58945
23	1446	58839
24	1506	58746
25	1567	58728
26	1625	58561
27	1685	58502
28	1739	58258
29	1795	58049
30	1857	58054
31	1925	58251
32	1984	58151
33	2050	58261
34	2108	58124
35	2161	57889
36	2230	58057
37	2292	58037
38	2348	57878
39	2405	57720
40	2474	57875
41	2527	57652
42	2593	57722
43	2650	57586
44	2709	57494
45	2765	57353
46	2829	57364
47	2883	57183
48	2948	57223
49	3005	57106
50	3058	56907
51	3119	56873
52	3172	56692
53	3233	56645
54	3290	56535
55	3344	56386
56	3411	56431
57	3466	56301
58	3523	56203
59	3588	56225
60	3646	56126
61	3709	56113
62	3762	55956
63	3821	55894
64	3877	55771
65	3938	55734
66	3996	55655
67	4050	55510
68	4109	55441
69	4162	55305
70	4228	55322
71	4292	55327
72	4347	55211
73	4407	55153
74	4471	55148
75	4526	55034
76	4586	54982
77	4647	54939
78	4712	54942
79	4778	54953
80	4832	54829
81	4889	54733
82	4954	54742
83	5015	54692
84	5072	54603
85	5127	54495
86	5185	54420
87	5245	54357
88	5304	54299
89	5369	54296
90	5429	54231
91	5480	54087
92	5536	53996
93	5595	53927
94	5657	53893
95	5717	53840
96	5770	53715
97	5828	53647
98	5889	53603
99	5949	53546
100	6008	53479
101	6076	53494
102	6129	53380
103	6191	53343
104	6256	53331
105	6311	53233
106	6365	53126
107	6425	53071
108	6482	52986
109	6538	52900
110	6595	52822
111	6650	52729
112	6709	52665
113	6768	52602
114	6824	52517
115	6883	52456
116	6946	52421
117	7005	52362
118	7071	52350
119	7129	52279
120	7181	52172
121	7241	52118
122	7298	52041
123	7362	52014
124	7419	51936
125	7475	51856
126	7532	51776
127	7589	51702
128	7649	51650
129	7704	51557
130	7761	51488
131	7818	51413
132	7876	51342
133	7943	51334
134	8004	51285
135	8069	51268
136	8126	51189
137	8184	51123
138	8238	51033
139	8306	51028
140	8364	50959
141	8426	50912
142	8484	50845
143	8542	50779
144	8610	50770
145	8669	50709
146	8726	50638
147	8786	50581
148	8844	50514
149	8904	50456
150	8965	50409
151	9024	50344
152	9082	50280
153	9138	50204
154	9195	50132
155	9253	50062
156	9305	49963
157	9356	49863
158	9418	49817
159	9481	49776
160	9536	49695
161	9598	49652
162	9662	49618
163	9718	49541
164	9774	49466
165	9830	49390
166	9892	49345
167	9958	49319
168	10011	49227
169	10067	49152
170	10124	49083
171	10180	49007
172	10239	48947
173	10295	48875
174	10351	48801
175	10410	48739
176	10477	48716
177	10534	48648
178	10603	48632
179	10664	48584
180	10731	48559
181	10784	48472
182	10841	48401
183	10897	48329
184	10970	48329
185	11026	48256
186	11081	48177
187	11143	48129
188	11205	48083
189	11267	48037
190	11322	47957
191	11379	47887
192	11437	47822
193	11493	47752
194	11553	47694
195	11613	47640
196	11670	47569
197	11728	47508
198	11786	47443
199	11844	47379
200	11920	47383
201	11986	47353
202	12044	47289
203	12110	47254
204	12168	47190
205	12235	47158
206	12301	47125
207	12358	47057
208	12411	46972
209	12469	46909
210	12525	46837
211	12588	46792
212	12648	46734
213	12702	46655
214	12762	46598
215	12819	46528
216	12886	46497
217	12946	46441
218	13006	46384
219	13063	46315
220	13122	46254
221	13183	46199
222	13243	46144
223	13299	46073
224	13361	46022
225	13419	45960
226	13476	45891
227	13533	45825
228	13588	45748
229	13642	45671
230	13701	45611
231	13770	45585
232	13831	45530
233	13890	45470
234	13962	45453
235	14020	45388
236	14077	45320
237	14134	45254
238	14191	45186
239	14252	45133
240	14311	45073
241	14367	45001
242	14427	44944
243	14481	44868
244	14536	44795
245	14596	44738
246	14655	44679
247	14715	44622
248	14768	44542
249	14825	44476
250	14894	44446
251	14952	44383
252	15011	44321
253	15071	44265
254	15127	44196
255	15185	44133
256	15241	44063
257	15299	44001
258	15355	43931
259	15409	43856
260	15471	43807
261	15529	43743
262	15594	43699
263	15647	43622
264	15709	43571
265	15764	43501
266	15831	43463
267	15899	43425
268	15958	43366
269	16015	43300
270	16073	43239
271	16131	43175
272	16197	43133
273	16256	43072
