iter	Passed	Remaining
0	75	75725
1	148	73978
2	220	73362
3	287	71473
4	366	72855
5	431	71427
6	505	71769
7	570	70702
8	646	71165
9	728	72134
10	802	72140
11	870	71641
12	939	71324
13	1008	71033
14	1085	71268
15	1155	71034
16	1227	70974
17	1293	70586
18	1364	70431
19	1438	70491
20	1519	70828
21	1600	71145
22	1673	71078
23	1741	70838
24	1821	71034
25	1891	70862
26	1966	70862
27	2037	70731
28	2103	70415
29	2168	70110
30	2245	70182
31	2328	70450
32	2398	70283
33	2472	70258
34	2549	70289
35	2627	70354
36	2696	70173
37	2778	70329
38	2856	70375
39	2932	70376
40	3008	70364
41	3077	70204
42	3143	69966
43	3230	70198
44	3307	70188
45	3385	70210
46	3457	70108
47	3526	69949
48	3588	69642
49	3651	69383
50	3732	69452
51	3811	69484
52	3878	69306
53	3946	69143
54	4019	69067
55	4096	69058
56	4170	69000
57	4239	68852
58	4314	68816
59	4390	68783
60	4459	68641
61	4530	68540
62	4606	68516
63	4683	68492
64	4772	68655
65	4848	68615
66	4930	68652
67	5009	68653
68	5090	68687
69	5160	68556
70	5236	68522
71	5310	68440
72	5380	68319
73	5448	68179
74	5527	68169
75	5609	68205
76	5684	68138
77	5756	68047
78	5831	67979
79	5902	67883
80	5976	67806
81	6058	67825
82	6141	67854
83	6210	67720
84	6290	67720
85	6371	67714
86	6443	67615
87	6507	67441
88	6577	67324
89	6648	67228
90	6717	67105
91	6801	67124
92	6875	67051
93	6942	66913
94	7017	66851
95	7083	66698
96	7172	66766
97	7243	66669
98	7311	66543
99	7382	66440
100	7457	66376
101	7534	66335
102	7608	66261
103	7676	66139
104	7749	66057
105	7816	65923
106	7896	65901
107	7969	65818
108	8046	65770
109	8119	65691
110	8188	65582
111	8258	65481
112	8340	65468
113	8414	65398
114	8488	65323
115	8563	65257
116	8636	65181
117	8707	65082
118	8774	64959
119	8845	64865
120	8927	64853
121	8996	64744
122	9069	64662
123	9137	64551
124	9208	64458
125	9287	64424
126	9358	64333
127	9434	64274
128	9506	64184
129	9583	64135
130	9660	64083
131	9732	63996
132	9806	63923
133	9876	63830
134	9949	63747
135	10015	63624
136	10090	63564
137	10156	63438
138	10240	63434
139	10308	63322
140	10380	63242
141	10456	63182
142	10529	63100
143	10603	63031
144	10666	62896
145	10749	62879
146	10826	62821
147	10889	62690
148	10958	62591
149	11030	62505
150	11097	62397
151	11175	62347
152	11249	62277
153	11320	62191
154	11401	62157
155	11470	62058
156	11540	61966
157	11620	61927
158	11692	61847
159	11771	61798
160	11840	61702
161	11913	61628
