iter	Passed	Remaining
0	77	77180
1	146	72893
2	219	72802
3	281	70056
4	363	72280
5	424	70271
6	497	70629
7	560	69515
8	632	69687
9	714	70740
10	781	70262
11	844	69567
12	911	69226
13	978	68911
14	1054	69225
15	1123	69069
16	1195	69117
17	1259	68698
18	1330	68711
19	1408	69011
20	1486	69310
21	1566	69640
22	1634	69438
23	1703	69262
24	1780	69451
25	1846	69171
26	1922	69282
27	1989	69062
28	2053	68763
29	2120	68552
30	2198	68709
31	2274	68800
32	2349	68846
33	2423	68868
34	2496	68836
35	2575	68958
36	2640	68732
37	2718	68815
38	2789	68743
39	2863	68733
40	2935	68670
41	3002	68487
42	3065	68218
43	3159	68649
44	3232	68598
45	3312	68696
46	3385	68656
47	3453	68492
48	3513	68184
49	3573	67905
50	3652	67971
51	3727	67963
52	3798	67863
53	3865	67710
54	3936	67636
55	4010	67603
56	4083	67556
57	4151	67419
58	4220	67316
59	4292	67241
60	4369	67258
61	4439	67170
62	4514	67145
63	4589	67123
64	4679	67311
65	4746	67171
66	4818	67098
67	4893	67067
68	4977	67160
69	5046	67044
70	5119	66984
71	5185	66839
72	5255	66732
73	5326	66651
74	5405	66665
75	5469	66500
76	5540	66420
77	5610	66321
78	5684	66267
79	5753	66167
80	5824	66084
81	5904	66104
82	5986	66144
83	6053	66012
84	6129	65976
85	6209	65996
86	6281	65918
87	6353	65849
88	6421	65730
89	6488	65605
90	6551	65447
91	6632	65462
92	6708	65426
93	6772	65271
94	6843	65191
95	6906	65033
96	6993	65107
97	7063	65016
98	7129	64889
99	7202	64826
100	7275	64756
101	7369	64879
102	7447	64853
103	7515	64745
104	7585	64656
105	7648	64509
106	7726	64482
107	7798	64406
108	7871	64342
109	7941	64256
110	8007	64131
111	8077	64044
112	8158	64041
113	8232	63984
114	8310	63954
115	8390	63938
116	8459	63846
117	8527	63740
118	8592	63611
119	8660	63512
120	8739	63490
121	8807	63384
122	8877	63300
123	8945	63195
124	9015	63105
125	9092	63069
126	9161	62975
127	9234	62909
128	9311	62870
129	9388	62828
130	9469	62818
131	9543	62757
132	9614	62674
133	9683	62580
134	9756	62513
135	9823	62404
136	9901	62372
137	9968	62264
138	10050	62253
139	10117	62149
140	10193	62100
141	10266	62030
142	10349	62025
143	10425	61973
144	10488	61845
145	10573	61845
146	10644	61764
147	10706	61634
148	10774	61538
149	10846	61461
150	10913	61362
151	10988	61304
152	11060	61231
153	11129	61139
154	11209	61107
155	11277	61013
156	11353	60961
157	11432	60926
158	11502	60839
159	11577	60783
160	11643	60677
161	11714	60597
162	11792	60555
163	11860	60459
164	11932	60387
165	12005	60318
166	12076	60239
167	12149	60168
168	12217	60074
169	12290	60004
170	12369	59967
171	12439	59883
172	12508	59794
173	12579	59718
174	12649	59631
175	12725	59579
176	12794	59491
177	12865	59413
178	12945	59376
179	13006	59252
180	13081	59193
181	13153	59117
182	13235	59088
183	13322	59082
184	13391	58994
185	13460	58908
186	13523	58796
187	13598	58732
188	13670	58659
189	13739	58572
190	13798	58444
191	13865	58352
192	13930	58248
193	14002	58174
194	14071	58091
195	14140	58003
196	14210	57923
197	14285	57862
198	14376	57865
199	14442	57771
200	14513	57692
201	14577	57590
202	14645	57498
203	14723	57449
204	14789	57355
205	14857	57266
206	14930	57196
207	14994	57093
208	15065	57019
209	15134	56936
210	15201	56842
211	15281	56800
212	15366	56776
213	15450	56748
214	15518	56660
215	15597	56612
216	15662	56513
217	15729	56423
218	15790	56312
219	15853	56206
220	15926	56138
221	15994	56051
222	16060	55959
223	16135	55897
224	16207	55825
225	16285	55775
226	16362	55719
227	16423	55609
228	16488	55514
229	16566	55462
230	16640	55396
231	16720	55351
232	16790	55271
233	16862	55200
234	16931	55115
235	17000	55034
236	17071	54961
237	17149	54907
238	17221	54835
239	17302	54790
240	17389	54766
241	17465	54705
242	17531	54616
243	17601	54534
244	17677	54475
245	17745	54390
246	17820	54328
247	17896	54266
248	17976	54217
249	18050	54150
250	18121	54076
251	18201	54027
252	18284	53986
253	18356	53914
254	18430	53846
255	18501	53770
256	18572	53693
257	18642	53615
258	18718	53553
259	18788	53473
260	18853	53383
261	18931	53325
262	18999	53243
263	19065	53152
264	19138	53083
265	19207	53000
266	19288	52953
267	19360	52879
268	19422	52779
269	19494	52708
270	19558	52612
271	19625	52526
272	19699	52459
273	19776	52399
274	19843	52314
275	19915	52241
276	19991	52178
277	20074	52134
278	20148	52068
279	20217	51988
280	20297	51936
281	20369	51861
282	20438	51781
283	20511	51710
284	20579	51628
285	20650	51554
286	20720	51477
287	20790	51398
288	20864	51330
289	20945	51280
290	21021	51216
291	21101	51163
292	21171	51085
293	21246	51019
294	21322	50957
295	21390	50874
296	21465	50809
297	21536	50734
298	21603	50648
299	21673	50572
300	21741	50489
301	21821	50434
302	21885	50344
303	21958	50273
304	22039	50221
305	22113	50153
306	22191	50094
307	22263	50021
308	22328	49931
309	22386	49828
310	22454	49746
311	22527	49675
312	22605	49616
313	22673	49535
314	22745	49463
315	22818	49392
316	22890	49318
317	22958	49238
318	23042	49190
319	23116	49121
320	23191	49055
321	23279	49016
322	23356	48954
323	23429	48883
324	23500	48807
325	23580	48751
326	23642	48659
327	23718	48594
328	23800	48542
329	23872	48468
330	23953	48413
331	24023	48336
332	24098	48269
333	24166	48187
334	24231	48100
335	24306	48033
336	24380	47965
337	24466	47919
338	24536	47842
339	24603	47760
340	24676	47687
341	24755	47629
342	24830	47561
343	24898	47481
344	24960	47388
345	25031	47313
346	25102	47239
347	25178	47173
348	25251	47102
349	25323	47029
350	25396	46957
351	25463	46876
352	25539	46811
353	25618	46750
354	25690	46676
355	25762	46604
356	25834	46531
357	25901	46449
358	25971	46371
359	26040	46294
360	26114	46224
361	26188	46154
362	26265	46091
363	26344	46031
364	26411	45948
365	26480	45870
366	26551	45795
367	26617	45713
368	26682	45627
369	26756	45558
370	26826	45482
371	26896	45405
372	26964	45327
373	27040	45260
374	27114	45191
375	27183	45112
376	27259	45046
377	27336	44982
378	27425	44937
379	27498	44866
380	27569	44791
381	27647	44727
382	27724	44662
383	27807	44607
384	27878	44532
385	27976	44501
386	28056	44440
387	28127	44366
388	28196	44288
389	28279	44231
390	28363	44178
391	28428	44093
392	28503	44024
393	28581	43959
394	28656	43891
395	28725	43813
396	28794	43735
397	28869	43666
398	28942	43595
399	29008	43513
400	29074	43430
401	29149	43361
402	29217	43282
403	29291	43212
404	29363	43138
405	29440	43073
406	29527	43021
407	29603	42953
408	29686	42896
409	29763	42831
410	29833	42753
411	29897	42669
412	29975	42604
413	30041	42522
414	30118	42456
415	30198	42393
416	30282	42338
417	30351	42259
418	30417	42177
419	30499	42118
420	30574	42049
421	30646	41975
422	30719	41903
423	30798	41839
424	30893	41797
425	30956	41711
426	31026	41635
427	31101	41566
428	31170	41487
429	31247	41420
430	31317	41345
431	31396	41280
432	31462	41199
433	31539	41132
434	31618	41067
435	31691	40994
436	31771	40932
437	31841	40855
438	31905	40771
439	31971	40691
440	32042	40615
441	32121	40551
442	32203	40490
443	32283	40426
444	32356	40354
445	32428	40280
446	32496	40203
447	32564	40124
448	32634	40048
449	32707	39976
450	32777	39900
451	32848	39825
452	32912	39742
453	32981	39665
454	33051	39589
455	33122	39514
456	33184	39429
457	33255	39355
458	33322	39275
459	33394	39201
460	33469	39132
461	33543	39060
462	33616	38989
463	33684	38911
464	33749	38830
465	33824	38759
466	33889	38679
467	33966	38611
468	34035	38534
469	34103	38457
470	34172	38380
471	34253	38317
472	34326	38245
473	34392	38166
474	34472	38101
475	34544	38027
476	34619	37958
477	34698	37892
478	34771	37820
479	34845	37749
480	34917	37675
481	34985	37598
482	35055	37523
483	35121	37443
484	35184	37360
485	35275	37307
486	35364	37252
487	35449	37192
488	35515	37113
489	35591	37044
490	35659	36967
491	35724	36886
492	35802	36818
493	35872	36744
494	35934	36660
495	35999	36579
496	36073	36509
497	36160	36450
498	36235	36380
499	36310	36310
500	36379	36234
501	36451	36161
502	36527	36092
503	36605	36024
504	36675	35949
505	36749	35878
506	36821	35805
507	36889	35727
508	36958	35651
509	37028	35576
510	37104	35506
511	37192	35448
512	37276	35387
513	37357	35322
514	37430	35250
515	37505	35179
516	37593	35120
517	37661	35043
518	37740	34977
519	37809	34901
520	37888	34833
521	37970	34769
522	38042	34696
523	38120	34628
524	38192	34555
525	38271	34488
526	38344	34415
527	38423	34348
528	38500	34279
529	38572	34205
530	38643	34131
531	38716	34058
532	38785	33982
533	38856	33908
534	38936	33842
535	39003	33764
536	39069	33686
537	39139	33610
538	39213	33538
539	39284	33464
540	39353	33388
541	39426	33315
542	39496	33241
543	39576	33174
544	39658	33109
545	39731	33036
546	39797	32958
547	39889	32901
548	39958	32825
549	40034	32755
550	40108	32683
551	40190	32618
552	40273	32553
553	40346	32480
554	40421	32409
555	40502	32343
556	40574	32269
557	40656	32204
558	40723	32127
559	40790	32049
560	40869	31981
561	40940	31907
562	41004	31827
563	41076	31754
564	41148	31680
565	41232	31616
566	41313	31550
567	41386	31477
568	41459	31404
569	41530	31330
570	41604	31258
571	41670	31180
572	41738	31103
573	41813	31032
574	41893	30964
575	41964	30890
576	42040	30820
577	42117	30750
578	42184	30673
579	42264	30605
580	42333	30529
581	42398	30451
582	42464	30373
583	42529	30295
584	42603	30223
585	42667	30144
586	42746	30075
587	42819	30002
588	42894	29931
589	42961	29854
590	43034	29781
591	43106	29708
592	43173	29631
593	43264	29571
594	43339	29499
595	43411	29426
596	43489	29357
597	43556	29280
598	43637	29213
599	43713	29142
600	43794	29075
601	43867	29001
602	43945	28932
603	44016	28858
604	44094	28789
605	44168	28717
606	44257	28654
607	44339	28587
608	44416	28516
609	44495	28448
610	44565	28372
611	44640	28301
612	44725	28236
613	44799	28163
614	44876	28093
615	44950	28020
616	45025	27949
617	45101	27877
618	45174	27805
619	45250	27733
620	45317	27657
621	45384	27580
622	45450	27503
623	45525	27432
624	45599	27359
625	45670	27285
626	45751	27217
627	45821	27142
628	45884	27063
629	45952	26987
630	46030	26917
631	46098	26842
632	46170	26768
633	46256	26703
634	46329	26630
635	46398	26555
636	46471	26482
637	46539	26406
638	46616	26335
639	46684	26259
640	46762	26189
641	46837	26117
642	46920	26050
643	46997	25979
644	47069	25906
645	47139	25831
646	47210	25757
647	47293	25690
648	47367	25617
649	47437	25543
650	47500	25464
651	47565	25387
652	47635	25313
653	47707	25239
654	47778	25165
655	47846	25090
656	47918	25016
657	47993	24944
658	48062	24869
659	48134	24796
660	48209	24724
661	48291	24656
662	48363	24583
663	48433	24508
664	48503	24434
665	48578	24362
666	48646	24286
667	48722	24215
668	48799	24144
669	48877	24073
670	48955	24003
671	49035	23933
672	49105	23859
673	49176	23785
674	49243	23710
675	49317	23637
676	49383	23561
677	49451	23485
678	49523	23412
679	49595	23338
680	49668	23266
681	49744	23194
682	49820	23123
683	49892	23049
684	49963	22975
685	50036	22902
686	50109	22830
687	50181	22756
688	50265	22688
689	50341	22617
690	50418	22546
691	50492	22473
692	50570	22402
693	50639	22327
694	50713	22255
695	50785	22182
696	50850	22105
697	50930	22035
698	50996	21959
699	51078	21890
700	51150	21817
701	51233	21748
702	51299	21672
703	51367	21597
704	51446	21527
705	51521	21455
706	51589	21380
707	51657	21305
708	51725	21230
709	51797	21156
710	51871	21084
711	51956	21016
712	52037	20946
713	52113	20874
714	52193	20804
715	52263	20730
716	52332	20655
717	52404	20582
718	52475	20508
719	52547	20435
720	52622	20362
721	52695	20290
722	52767	20216
723	52850	20147
724	52936	20079
725	53005	20005
726	53071	19929
727	53145	19856
728	53234	19789
729	53301	19714
730	53374	19641
731	53458	19572
732	53529	19498
733	53592	19421
734	53659	19346
735	53718	19268
736	53789	19194
737	53858	19120
738	53934	19048
739	54010	18976
740	54081	18902
741	54152	18829
742	54236	18760
743	54314	18688
744	54390	18617
745	54458	18542
746	54540	18472
747	54614	18399
748	54692	18328
749	54764	18254
750	54837	18181
751	54922	18112
752	54998	18040
753	55075	17969
754	55147	17895
755	55224	17823
756	55301	17752
757	55380	17680
758	55456	17608
759	55530	17535
760	55609	17464
761	55681	17391
762	55752	17317
763	55821	17243
764	55891	17169
765	55961	17095
766	56033	17021
767	56111	16950
768	56180	16876
769	56257	16804
770	56321	16728
771	56393	16655
772	56472	16583
773	56553	16513
774	56637	16443
775	56709	16369
776	56782	16296
777	56847	16221
778	56916	16146
779	56994	16075
780	57065	16001
781	57136	15928
782	57222	15858
783	57290	15784
784	57364	15711
785	57434	15637
786	57514	15566
787	57582	15491
788	57663	15420
789	57738	15348
790	57810	15274
791	57886	15202
792	57959	15129
793	58033	15056
794	58103	14982
795	58190	14913
796	58267	14840
797	58333	14766
798	58411	14694
799	58494	14623
800	58566	14550
801	58649	14479
802	58720	14406
803	58804	14335
804	58879	14262
805	58953	14189
806	59026	14116
807	59094	14042
808	59174	13970
809	59252	13898
810	59319	13824
811	59398	13752
812	59468	13678
813	59541	13605
814	59611	13531
815	59680	13457
816	59755	13384
817	59830	13311
818	59899	13237
819	59972	13164
820	60041	13090
821	60114	13017
822	60199	12946
823	60262	12871
824	60337	12798
825	60412	12726
826	60498	12655
827	60571	12582
828	60648	12510
829	60723	12437
830	60797	12364
831	60874	12291
832	60950	12219
833	61018	12145
834	61096	12072
835	61171	12000
836	61253	11928
837	61327	11855
838	61395	11781
839	61465	11707
840	61560	11638
841	61631	11565
842	61710	11492
843	61787	11420
844	61862	11347
845	61935	11274
846	62020	11203
847	62091	11129
848	62178	11058
849	62267	10988
850	62345	10915
851	62420	10842
852	62500	10770
853	62572	10697
