iter	Passed	Remaining
0	78	78861
1	149	74526
2	229	76350
3	292	72708
4	373	74260
5	433	71805
6	514	72946
7	596	73941
8	672	74096
9	755	74799
10	823	74035
11	889	73239
12	960	72904
13	1026	72307
14	1104	72545
15	1174	72248
16	1246	72094
17	1312	71622
18	1381	71308
19	1453	71207
20	1531	71402
21	1609	71569
22	1682	71478
23	1750	71179
24	1826	71249
25	1893	70950
26	1965	70848
27	2035	70653
28	2101	70372
29	2172	70245
30	2250	70335
31	2326	70377
32	2400	70333
33	2479	70433
34	2560	70583
35	2638	70641
36	2705	70412
37	2782	70435
38	2852	70277
39	2925	70217
40	2998	70135
41	3065	69928
42	3127	69607
43	3215	69869
44	3286	69750
45	3362	69730
46	3433	69610
47	3506	69539
48	3566	69225
49	3626	68904
50	3706	68967
51	3782	68965
52	3847	68743
53	3912	68533
54	3985	68473
55	4058	68414
56	4131	68355
57	4200	68226
58	4270	68113
59	4342	68026
60	4408	67867
61	4480	67791
62	4557	67784
63	4633	67769
64	4722	67933
65	4787	67754
66	4856	67625
67	4932	67608
68	5013	67646
69	5079	67489
70	5155	67459
71	5228	67386
72	5293	67223
73	5359	67062
74	5430	66974
75	5500	66868
76	5572	66797
77	5642	66697
78	5715	66634
79	5784	66527
80	5858	66465
81	5938	66479
82	6021	66529
83	6091	66428
84	6170	66425
85	6252	66454
86	6320	66327
87	6381	66134
88	6445	65977
89	6519	65921
90	6584	65777
91	6665	65789
92	6738	65715
93	6802	65562
94	6873	65482
95	6935	65305
96	7028	65428
97	7098	65334
98	7164	65207
99	7239	65159
100	7309	65064
101	7382	64992
102	7459	64965
103	7530	64879
104	7603	64811
105	7669	64682
106	7747	64659
107	7818	64577
108	7894	64528
109	7964	64436
110	8028	64303
111	8102	64237
112	8182	64227
113	8257	64178
114	8329	64098
115	8405	64057
116	8478	63984
117	8545	63870
118	8610	63746
119	8684	63686
120	8764	63671
121	8833	63575
122	8903	63483
123	8970	63370
124	9041	63291
125	9119	63256
126	9189	63171
127	9267	63133
128	9335	63030
129	9407	62958
130	9497	63001
131	9570	62936
132	9641	62852
133	9713	62774
134	9784	62691
