iter	Passed	Remaining
0	81	81145
1	158	79298
2	233	77473
3	315	78601
4	399	79446
5	489	81171
6	576	81780
7	667	82722
8	752	82912
9	821	81323
10	896	80628
11	965	79532
12	1056	80176
13	1139	80235
14	1215	79840
15	1288	79251
16	1366	79033
17	1440	78570
18	1514	78171
19	1581	77504
20	1650	76957
21	1723	76625
22	1803	76597
23	1894	77043
24	1978	77146
25	2056	77038
26	2130	76775
27	2209	76702
28	2286	76552
29	2376	76846
30	2446	76484
31	2510	75948
32	2576	75493
33	2647	75227
34	2718	74965
35	2784	74565
36	2863	74540
37	2935	74325
38	3028	74635
39	3105	74526
40	3239	75768
41	3338	76156
42	3422	76174
43	3505	76165
44	3583	76046
45	3670	76126
46	3758	76213
47	3845	76269
48	3928	76241
49	4014	76271
50	4093	76170
51	4171	76055
52	4254	76022
53	4341	76050
54	4425	76046
55	4509	76015
56	4606	76203
57	4685	76103
58	4760	75923
59	4843	75877
60	4924	75799
61	5005	75727
62	5097	75813
63	5179	75748
64	5258	75647
65	5347	75677
66	5423	75529
67	5522	75696
68	5621	75855
69	5704	75792
70	5779	75625
71	5857	75491
72	5927	75273
73	6002	75107
74	6083	75034
75	6165	74964
76	6248	74902
77	6321	74727
78	6398	74589
79	6474	74451
80	6570	74552
81	6657	74529
82	6749	74568
83	6837	74564
84	6922	74513
85	7006	74465
86	7106	74581
87	7188	74503
88	7266	74383
89	7333	74149
90	7408	74004
91	7488	73906
92	7573	73866
93	7659	73825
94	7745	73783
95	7830	73732
96	7897	73522
97	7973	73384
98	8049	73261
99	8130	73170
100	8197	72966
101	8271	72820
102	8347	72698
103	8418	72531
104	8505	72496
105	8591	72457
106	8678	72426
107	8767	72410
108	8865	72467
109	8947	72390
110	9019	72238
111	9100	72151
112	9178	72045
113	9252	71907
114	9318	71710
115	9395	71596
116	9466	71442
117	9543	71334
118	9624	71253
119	9698	71121
120	9775	71011
121	9885	71140
122	9964	71046
123	10048	70987
124	10133	70931
125	10214	70852
126	10298	70789
127	10371	70655
128	10453	70583
129	10531	70479
130	10607	70368
131	10691	70303
132	10784	70301
133	10872	70266
134	10957	70208
135	11028	70064
136	11104	69950
137	11190	69901
138	11274	69834
139	11360	69784
140	11431	69643
141	11512	69559
142	11588	69448
143	11670	69375
144	11754	69311
145	11833	69215
146	11913	69130
147	11995	69052
148	12080	68999
149	12168	68957
150	12250	68878
151	12343	68861
152	12428	68806
153	12512	68734
154	12598	68682
155	12677	68587
156	12763	68533
157	12853	68497
158	12934	68414
159	13021	68362
160	13112	68334
161	13205	68307
162	13301	68305
163	13382	68219
164	13457	68103
165	13534	67996
166	13612	67900
167	13687	67787
168	13768	67702
169	13857	67657
170	13932	67542
171	14016	67476
172	14117	67485
173	14248	67639
174	14343	67619
175	14470	67746
176	14568	67737
177	14665	67724
178	14742	67619
179	14830	67559
180	14912	67478
181	15001	67425
182	15083	67339
183	15164	67252
184	15256	67210
185	15356	67203
186	15441	67135
187	15539	67117
188	15651	67162
189	15759	67186
190	15862	67188
191	15948	67115
192	16032	67038
193	16105	66911
194	16189	66834
195	16267	66730
196	16346	66630
197	16440	66592
198	16519	66491
199	16603	66412
200	16681	66310
201	16754	66188
202	16835	66099
203	16920	66022
204	17010	65965
205	17091	65878
206	17168	65769
207	17271	65765
208	17396	65839
209	17496	65819
210	17585	65758
211	17679	65714
212	17774	65674
213	17867	65623
214	17946	65525
215	18028	65436
216	18115	65367
217	18204	65300
218	18301	65266
219	18395	65219
220	18480	65141
221	18583	65126
222	18690	65123
223	18800	65130
224	18899	65096
225	18998	65063
226	19091	65011
227	19178	64939
228	19283	64924
229	19367	64839
230	19470	64818
231	19597	64874
232	19764	65060
233	19858	65007
234	19939	64908
235	20045	64893
236	20153	64883
237	20260	64868
238	20375	64878
239	20471	64825
240	20561	64755
241	20641	64654
242	20737	64601
243	20828	64534
244	20933	64508
245	21005	64383
246	21108	64350
247	21212	64320
248	21302	64250
249	21406	64219
250	21496	64147
251	21586	64074
252	21692	64050
253	21790	63997
254	21878	63920
255	21963	63831
256	22057	63770
257	22151	63706
258	22236	63618
259	22347	63603
260	22438	63532
261	22518	63429
262	22601	63335
263	22678	63224
264	22774	63166
265	22859	63079
266	22944	62990
267	23026	62894
268	23106	62791
269	23198	62720
270	23291	62656
271	23382	62581
272	23480	62528
273	23569	62451
274	23671	62406
275	23770	62355
276	23871	62306
277	23979	62278
278	24079	62226
279	24180	62178
280	24277	62118
281	24390	62101
282	24478	62018
283	24569	61943
284	24655	61855
285	24745	61778
286	24856	61750
287	24949	61681
288	25048	61624
289	25141	61552
290	25225	61460
291	25340	61441
292	25444	61397
293	25557	61373
294	25629	61249
295	25704	61135
296	25811	61097
297	25909	61034
298	26004	60966
299	26096	60892
300	26197	60836
301	26281	60742
302	26362	60642
303	26444	60544
304	26517	60425
305	26591	60309
306	26666	60194
307	26740	60080
