iter	Passed	Remaining
0	27	27640
1	45	22946
2	66	22016
3	85	21397
4	105	21032
5	126	20906
6	143	20344
7	162	20090
8	178	19680
9	197	19553
10	214	19310
11	231	19068
12	249	18929
13	266	18787
14	284	18663
15	301	18562
16	320	18511
17	338	18446
18	355	18377
19	372	18245
20	389	18179
21	407	18125
22	424	18041
23	442	17997
24	460	17974
25	479	17961
26	496	17894
27	514	17869
28	531	17802
29	549	17756
30	565	17685
31	582	17632
32	601	17635
33	619	17608
34	638	17597
35	655	17555
36	673	17537
37	692	17535
38	710	17513
39	727	17467
40	745	17431
41	761	17363
42	778	17329
43	796	17296
44	814	17277
45	830	17233
46	847	17192
47	864	17151
48	881	17101
49	899	17089
50	916	17061
51	936	17068
52	953	17043
53	971	17017
54	988	16990
55	1007	16977
56	1023	16940
57	1040	16901
58	1057	16869
59	1074	16839
60	1091	16801
61	1108	16776
62	1127	16774
63	1146	16768
64	1165	16771
65	1183	16743
66	1201	16728
67	1220	16723
68	1237	16702
69	1257	16703
70	1277	16714
71	1296	16708
72	1314	16697
73	1331	16662
74	1349	16648
75	1367	16625
76	1386	16614
77	1403	16587
78	1420	16561
79	1437	16530
80	1454	16499
81	1471	16468
82	1488	16444
83	1505	16417
84	1525	16418
85	1543	16407
86	1561	16383
87	1578	16362
88	1596	16341
89	1614	16322
90	1631	16296
91	1648	16272
92	1666	16255
93	1683	16222
94	1702	16215
95	1719	16195
96	1736	16164
97	1753	16141
98	1771	16119
99	1788	16099
100	1806	16078
101	1823	16050
102	1840	16030
103	1858	16012
104	1875	15989
105	1892	15964
106	1911	15949
107	1927	15921
108	1944	15898
109	1962	15876
110	1981	15869
111	2000	15857
112	2018	15844
113	2035	15822
114	2054	15808
115	2070	15782
116	2088	15762
117	2106	15742
118	2124	15725
119	2140	15699
120	2158	15680
121	2174	15650
122	2192	15629
123	2210	15615
124	2228	15602
125	2246	15580
126	2262	15555
127	2280	15534
128	2299	15526
129	2318	15518
130	2336	15497
131	2355	15489
132	2376	15490
133	2393	15470
134	2411	15448
135	2428	15427
136	2446	15413
137	2463	15386
138	2478	15353
139	2496	15333
140	2514	15320
141	2532	15301
142	2549	15280
143	2566	15255
144	2584	15241
145	2601	15217
146	2619	15202
