pipeline_name,validation_score,percent_better_than_baseline,parameters
CatBoost Regressor w/ Imputer + Select Columns Transformer,1.576280549137943,0.0026723933673633918,"{'Imputer': {'categorical_impute_strategy': 'most_frequent', 'numeric_impute_strategy': 'mean', 'categorical_fill_value': None, 'numeric_fill_value': None}, 'Select Columns Transformer': {'columns': [0, 1, 3, 4, 5, 9, 13, 16, 17, 18, 19, 20, 24, 26]}, 'CatBoost Regressor': {'n_estimators': 10, 'eta': 0.03, 'max_depth': 6, 'bootstrap_type': None, 'silent': False, 'allow_writing_files': False, 'n_jobs': -1}}"
Extra Trees Regressor w/ Imputer + Select Columns Transformer,1.5763007850353379,0.0013886525622670545,"{'Imputer': {'categorical_impute_strategy': 'most_frequent', 'numeric_impute_strategy': 'median', 'categorical_fill_value': None, 'numeric_fill_value': None}, 'Select Columns Transformer': {'columns': [0, 1, 3, 4, 5, 9, 13, 16, 17, 18, 19, 20, 24, 26]}, 'Extra Trees Regressor': {'n_estimators': 561, 'max_features': 'sqrt', 'max_depth': 4, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_jobs': -1}}"
Elastic Net Regressor w/ Imputer + Standard Scaler + Select Columns Transformer,1.5763039728204253,0.001186423339871258,"{'Imputer': {'categorical_impute_strategy': 'most_frequent', 'numeric_impute_strategy': 'median', 'categorical_fill_value': None, 'numeric_fill_value': None}, 'Select Columns Transformer': {'columns': [0, 1, 3, 4, 5, 9, 13, 16, 17, 18, 19, 20, 24, 26]}, 'Elastic Net Regressor': {'alpha': 0.29753460654447234, 'l1_ratio': 0.056712977317443194, 'max_iter': 1000, 'normalize': False}}"
Mean Baseline Regression Pipeline,1.5763226746805494,0.0,{'Baseline Regressor': {'strategy': 'mean'}}
Elastic Net Regressor w/ Imputer + Standard Scaler + RF Regressor Select From Model,1.576488235175824,-0.010502957163143003,"{'Imputer': {'categorical_impute_strategy': 'most_frequent', 'numeric_impute_strategy': 'mean', 'categorical_fill_value': None, 'numeric_fill_value': None}, 'RF Regressor Select From Model': {'number_features': None, 'n_estimators': 10, 'max_depth': None, 'percent_features': 0.5, 'threshold': 'median', 'n_jobs': -1}, 'Elastic Net Regressor': {'alpha': 0.0001, 'l1_ratio': 0.15, 'max_iter': 1000, 'normalize': False}}"
Elastic Net Regressor w/ Imputer + Standard Scaler,1.5767309474946987,-0.025900332508505854,"{'Imputer': {'categorical_impute_strategy': 'most_frequent', 'numeric_impute_strategy': 'mean', 'categorical_fill_value': None, 'numeric_fill_value': None}, 'Elastic Net Regressor': {'alpha': 0.0001, 'l1_ratio': 0.15, 'max_iter': 1000, 'normalize': False}}"
Random Forest Regressor w/ Imputer,1.5768399223929943,-0.032813567980280595,"{'Imputer': {'categorical_impute_strategy': 'most_frequent', 'numeric_impute_strategy': 'mean', 'categorical_fill_value': None, 'numeric_fill_value': None}, 'Random Forest Regressor': {'n_estimators': 100, 'max_depth': 6, 'n_jobs': -1}}"
Random Forest Regressor w/ Imputer + RF Regressor Select From Model,1.5768923727195903,-0.0361409531304424,"{'Imputer': {'categorical_impute_strategy': 'most_frequent', 'numeric_impute_strategy': 'mean', 'categorical_fill_value': None, 'numeric_fill_value': None}, 'RF Regressor Select From Model': {'number_features': None, 'n_estimators': 10, 'max_depth': None, 'percent_features': 0.5, 'threshold': 'median', 'n_jobs': -1}, 'Random Forest Regressor': {'n_estimators': 100, 'max_depth': 6, 'n_jobs': -1}}"
LightGBM Regressor w/ Imputer + Select Columns Transformer,1.5779488963516748,-0.10316553185755091,"{'Imputer': {'categorical_impute_strategy': 'most_frequent', 'numeric_impute_strategy': 'mean', 'categorical_fill_value': None, 'numeric_fill_value': None}, 'Select Columns Transformer': {'columns': [0, 1, 3, 4, 5, 9, 13, 16, 17, 18, 19, 20, 24, 26]}, 'LightGBM Regressor': {'boosting_type': 'gbdt', 'learning_rate': 0.1, 'n_estimators': 20, 'max_depth': 0, 'num_leaves': 31, 'min_child_samples': 20, 'n_jobs': -1, 'bagging_freq': 0, 'bagging_fraction': 0.9}}"
XGBoost Regressor w/ Imputer + Select Columns Transformer,1.5840174044837132,-0.4881443328043954,"{'Imputer': {'categorical_impute_strategy': 'most_frequent', 'numeric_impute_strategy': 'mean', 'categorical_fill_value': None, 'numeric_fill_value': None}, 'Select Columns Transformer': {'columns': [0, 1, 3, 4, 5, 9, 13, 16, 17, 18, 19, 20, 24, 26]}, 'XGBoost Regressor': {'eta': 0.1, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 100, 'n_jobs': -1}}"
Decision Tree Regressor w/ Imputer + Select Columns Transformer,1.5853621708486552,-0.573454681157691,"{'Imputer': {'categorical_impute_strategy': 'most_frequent', 'numeric_impute_strategy': 'mean', 'categorical_fill_value': None, 'numeric_fill_value': None}, 'Select Columns Transformer': {'columns': [0, 1, 3, 4, 5, 9, 13, 16, 17, 18, 19, 20, 24, 26]}, 'Decision Tree Regressor': {'criterion': 'mse', 'max_features': 'auto', 'max_depth': 6, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0}}"
Stacked Ensemble Regression Pipeline,1.699517617903808,-7.815337887480734,"{'Linear Pipeline - Imputer': {'categorical_impute_strategy': 'most_frequent', 'numeric_impute_strategy': 'mean', 'categorical_fill_value': None, 'numeric_fill_value': None}, 'Linear Pipeline - RF Regressor Select From Model': {'number_features': None, 'n_estimators': 10, 'max_depth': None, 'percent_features': 0.5, 'threshold': 'median', 'n_jobs': -1}, 'Linear Pipeline - Elastic Net Regressor': {'alpha': 0.0001, 'l1_ratio': 0.15, 'max_iter': 1000, 'normalize': False}, 'Random Forest Pipeline - Imputer': {'categorical_impute_strategy': 'most_frequent', 'numeric_impute_strategy': 'mean', 'categorical_fill_value': None, 'numeric_fill_value': None}, 'Random Forest Pipeline - Random Forest Regressor': {'n_estimators': 100, 'max_depth': 6, 'n_jobs': -1}, 'Decision Tree Pipeline - Imputer': {'categorical_impute_strategy': 'most_frequent', 'numeric_impute_strategy': 'mean', 'categorical_fill_value': None, 'numeric_fill_value': None}, 'Decision Tree Pipeline - Select Columns Transformer': {'columns': [0, 1, 3, 4, 5, 9, 13, 16, 17, 18, 19, 20, 24, 26]}, 'Decision Tree Pipeline - Decision Tree Regressor': {'criterion': 'mse', 'max_features': 'auto', 'max_depth': 6, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0}, 'Extra Trees Pipeline - Imputer': {'categorical_impute_strategy': 'most_frequent', 'numeric_impute_strategy': 'mean', 'categorical_fill_value': None, 'numeric_fill_value': None}, 'Extra Trees Pipeline - Select Columns Transformer': {'columns': [0, 1, 3, 4, 5, 9, 13, 16, 17, 18, 19, 20, 24, 26]}, 'Extra Trees Pipeline - Extra Trees Regressor': {'n_estimators': 100, 'max_features': 'auto', 'max_depth': 6, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_jobs': -1}, 'XGBoost Pipeline - Imputer': {'categorical_impute_strategy': 'most_frequent', 'numeric_impute_strategy': 'mean', 'categorical_fill_value': None, 'numeric_fill_value': None}, 'XGBoost Pipeline - Select Columns Transformer': {'columns': [0, 1, 3, 4, 5, 9, 13, 16, 17, 18, 19, 20, 24, 26]}, 'XGBoost Pipeline - XGBoost Regressor': {'eta': 0.1, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 100, 'n_jobs': -1}, 'CatBoost Pipeline - Imputer': {'categorical_impute_strategy': 'most_frequent', 'numeric_impute_strategy': 'mean', 'categorical_fill_value': None, 'numeric_fill_value': None}, 'CatBoost Pipeline - Select Columns Transformer': {'columns': [0, 1, 3, 4, 5, 9, 13, 16, 17, 18, 19, 20, 24, 26]}, 'CatBoost Pipeline - CatBoost Regressor': {'n_estimators': 10, 'eta': 0.03, 'max_depth': 6, 'bootstrap_type': None, 'silent': False, 'allow_writing_files': False, 'n_jobs': -1}, 'LightGBM Pipeline - Imputer': {'categorical_impute_strategy': 'most_frequent', 'numeric_impute_strategy': 'mean', 'categorical_fill_value': None, 'numeric_fill_value': None}, 'LightGBM Pipeline - Select Columns Transformer': {'columns': [0, 1, 3, 4, 5, 9, 13, 16, 17, 18, 19, 20, 24, 26]}, 'LightGBM Pipeline - LightGBM Regressor': {'boosting_type': 'gbdt', 'learning_rate': 0.1, 'n_estimators': 20, 'max_depth': 0, 'num_leaves': 31, 'min_child_samples': 20, 'n_jobs': -1, 'bagging_freq': 0, 'bagging_fraction': 0.9}, 'Stacked Ensemble Regressor': {'final_estimator': ElasticNetRegressor(alpha=0.0001, l1_ratio=0.15, max_iter=1000, normalize=False), 'n_jobs': -1}}"
