iter	Logloss
0	0.6928632767
1	0.6926755518
2	0.6924904753
3	0.6924361344
4	0.6923305036
5	0.6922757355
6	0.6922074142
7	0.6921844147
8	0.6921528597
9	0.6921242888
10	0.6920946682
11	0.6920652674
12	0.6920393814
13	0.6920270853
14	0.6920155886
15	0.6920034084
16	0.691985669
17	0.6919761739
18	0.6919595451
19	0.6919527227
20	0.6919424099
21	0.6919273921
22	0.6919136314
23	0.6918994985
24	0.691882705
25	0.6918514613
26	0.691843272
27	0.6918354061
28	0.691827882
29	0.6918163059
30	0.6918005376
31	0.6917865084
32	0.6917797654
33	0.6917751704
34	0.6917647171
35	0.6917530373
36	0.6917498397
37	0.6917370676
38	0.6917341507
39	0.691725699
40	0.6917142695
41	0.6916961517
42	0.6916943516
43	0.6916903668
44	0.691683221
45	0.6916752514
46	0.6916577012
47	0.6916523006
48	0.6916465584
49	0.6916318396
50	0.6916288251
51	0.6916233697
52	0.6916067165
53	0.6916025181
54	0.691598338
55	0.6915951526
56	0.691579543
57	0.6915681622
58	0.6915588562
59	0.691554487
60	0.6915428926
61	0.6915310114
62	0.6915108189
63	0.6915033375
64	0.6914899186
65	0.6914832854
66	0.6914692318
67	0.6914606214
68	0.6914482155
69	0.6914462383
70	0.6914267232
71	0.6914098259
72	0.6913954672
73	0.691386326
74	0.69138394
75	0.6913693006
76	0.691361392
77	0.6913565651
78	0.6913417854
79	0.6913293977
80	0.6913104074
81	0.6913014431
82	0.6912910448
83	0.6912816655
84	0.6912688385
85	0.6912599414
86	0.6912560115
87	0.6912451128
88	0.6912359471
89	0.6912222109
90	0.6912135212
91	0.6912009139
92	0.6911892829
93	0.6911791104
94	0.6911696945
95	0.6911558667
96	0.6911441076
97	0.691135424
98	0.6911204307
99	0.6911084641
