iter	Passed	Remaining
0	19	18981
1	37	18904
2	56	18772
3	75	18784
4	92	18392
5	108	18053
6	126	17881
7	144	17890
8	164	18073
9	182	18025
10	200	18015
11	220	18150
12	240	18224
13	258	18214
14	276	18150
15	294	18106
16	315	18214
17	335	18309
18	353	18259
19	371	18215
20	390	18192
21	409	18206
22	428	18200
23	448	18247
24	466	18199
25	485	18181
26	504	18184
27	523	18167
28	540	18100
29	559	18104
30	580	18151
31	598	18113
32	617	18093
33	636	18082
34	655	18066
35	673	18040
36	692	18015
37	710	17989
38	729	17982
39	749	17980
40	767	17951
41	783	17880
42	802	17850
43	818	17788
44	835	17741
45	851	17655
46	869	17621
47	885	17557
48	901	17502
49	920	17485
50	938	17456
51	957	17450
52	974	17413
53	993	17398
54	1010	17366
55	1028	17345
56	1046	17313
57	1065	17300
58	1081	17251
59	1098	17216
60	1115	17168
61	1133	17142
62	1149	17090
63	1166	17058
64	1184	17040
65	1202	17021
66	1220	16996
67	1239	16989
68	1258	16981
69	1276	16960
70	1294	16933
71	1311	16905
72	1329	16880
73	1346	16853
74	1364	16829
75	1381	16798
76	1400	16782
77	1418	16771
78	1438	16768
79	1458	16774
80	1477	16768
81	1494	16728
82	1514	16734
83	1533	16717
84	1550	16695
85	1568	16672
86	1586	16650
87	1606	16651
88	1626	16649
89	1646	16643
90	1664	16623
91	1682	16609
92	1698	16568
93	1718	16561
94	1736	16540
95	1754	16521
96	1772	16496
97	1791	16487
98	1809	16467
99	1827	16444
100	1842	16404
101	1859	16372
102	1877	16347
103	1895	16331
104	1912	16303
105	1930	16278
106	1947	16250
107	1966	16237
108	1985	16227
109	2004	16214
110	2023	16203
111	2041	16184
112	2057	16148
113	2073	16116
114	2090	16085
115	2108	16072
116	2125	16042
117	2142	16014
118	2159	15987
119	2177	15966
120	2194	15938
121	2209	15902
122	2225	15871
123	2242	15839
124	2260	15822
125	2279	15810
126	2298	15797
127	2316	15780
128	2333	15755
129	2352	15746
130	2371	15729
131	2388	15709
132	2406	15684
133	2425	15677
134	2442	15652
135	2461	15638
136	2479	15617
137	2498	15607
138	2516	15585
139	2534	15571
140	2556	15573
141	2576	15568
142	2596	15562
143	2614	15541
144	2631	15517
145	2648	15492
146	2667	15479
147	2687	15469
148	2707	15462
149	2726	15447
150	2744	15431
151	2763	15418
152	2782	15402
153	2800	15383
154	2818	15365
155	2835	15342
156	2853	15320
157	2871	15304
158	2888	15279
159	2904	15248
160	2922	15230
161	2940	15210
162	2958	15189
163	2974	15163
164	2992	15142
165	3011	15130
166	3030	15116
167	3047	15093
168	3065	15075
169	3083	15054
170	3100	15030
171	3114	14992
172	3130	14964
173	3147	14941
174	3165	14920
175	3183	14902
176	3199	14879
177	3213	14838
178	3226	14798
179	3243	14777
180	3260	14755
181	3278	14733
182	3299	14729
183	3318	14715
184	3336	14698
185	3354	14679
186	3368	14645
187	3388	14636
188	3407	14620
189	3426	14607
190	3444	14589
191	3462	14571
192	3481	14555
193	3499	14539
194	3520	14532
195	3537	14513
196	3556	14498
197	3572	14469
198	3590	14450
199	3608	14432
200	3626	14416
201	3646	14406
202	3665	14391
203	3685	14380
204	3703	14363
205	3720	14341
206	3739	14327
207	3759	14314
208	3777	14295
209	3795	14280
210	3813	14260
211	3831	14241
212	3851	14229
213	3869	14211
214	3889	14200
215	3907	14181
216	3926	14168
217	3944	14150
218	3962	14132
219	3979	14109
220	3997	14090
221	4015	14073
222	4032	14050
223	4051	14035
224	4069	14016
225	4087	13999
226	4107	13986
227	4124	13965
228	4143	13948
229	4161	13933
230	4181	13918
231	4198	13898
232	4218	13885
233	4236	13868
234	4256	13854
235	4273	13834
236	4292	13820
237	4312	13805
238	4328	13783
239	4346	13762
240	4363	13743
241	4381	13724
242	4396	13695
243	4414	13678
244	4434	13664
245	4452	13648
246	4469	13626
247	4488	13610
248	4508	13599
249	4527	13583
250	4545	13564
251	4565	13552
252	4580	13524
253	4597	13501
254	4615	13483
255	4635	13471
256	4654	13456
257	4674	13442
258	4693	13428
259	4713	13414
260	4732	13399
261	4751	13384
262	4769	13364
263	4786	13343
264	4806	13329
265	4824	13313
266	4843	13296
267	4864	13286
268	4883	13271
269	4902	13254
270	4919	13234
271	4938	13216
272	4957	13201
273	4975	13183
274	4993	13163
275	5010	13144
276	5027	13123
277	5043	13098
278	5060	13078
279	5078	13060
280	5096	13039
281	5110	13011
282	5127	12991
283	5144	12969
284	5161	12947
285	5178	12927
286	5197	12911
287	5214	12892
288	5232	12873
289	5250	12854
290	5270	12841
291	5289	12824
292	5305	12803
293	5326	12790
294	5344	12771
295	5364	12757
296	5381	12739
297	5399	12720
298	5419	12706
299	5437	12688
300	5453	12665
301	5470	12644
302	5488	12625
303	5509	12613
304	5526	12592
305	5545	12575
306	5565	12562
307	5583	12544
308	5602	12528
309	5622	12513
310	5641	12497
311	5661	12483
312	5679	12466
313	5698	12449
314	5716	12431
