pipeline_name,validation_score,percent_better_than_baseline,parameters
CatBoost Regressor w/ Imputer + Select Columns Transformer,1.5745020127784972,0.0020925811981583053,"{'Imputer': {'categorical_impute_strategy': 'most_frequent', 'numeric_impute_strategy': 'mean', 'categorical_fill_value': None, 'numeric_fill_value': None}, 'Select Columns Transformer': {'columns': [0, 4, 6, 7, 8, 9, 10, 12, 14, 17, 19, 21, 23, 25]}, 'CatBoost Regressor': {'n_estimators': 10, 'eta': 0.03, 'max_depth': 6, 'bootstrap_type': None, 'silent': False, 'allow_writing_files': False, 'n_jobs': -1}}"
Elastic Net Regressor w/ Imputer + Standard Scaler + Select Columns Transformer,1.5745036283848997,0.001989972717416395,"{'Imputer': {'categorical_impute_strategy': 'most_frequent', 'numeric_impute_strategy': 'median', 'categorical_fill_value': None, 'numeric_fill_value': None}, 'Select Columns Transformer': {'columns': [0, 4, 6, 7, 8, 9, 10, 12, 14, 17, 19, 21, 23, 25]}, 'Elastic Net Regressor': {'alpha': 0.29753460654447234, 'l1_ratio': 0.056712977317443194, 'max_iter': 1000, 'normalize': False}}"
Extra Trees Regressor w/ Imputer + Select Columns Transformer,1.5745135399815968,0.0013604791246158462,"{'Imputer': {'categorical_impute_strategy': 'most_frequent', 'numeric_impute_strategy': 'median', 'categorical_fill_value': None, 'numeric_fill_value': None}, 'Select Columns Transformer': {'columns': [0, 4, 6, 7, 8, 9, 10, 12, 14, 17, 19, 21, 23, 25]}, 'Extra Trees Regressor': {'n_estimators': 561, 'max_features': 'sqrt', 'max_depth': 4, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_jobs': -1}}"
Mean Baseline Regression Pipeline,1.5745349612010537,0.0,{'Baseline Regressor': {'strategy': 'mean'}}
Elastic Net Regressor w/ Imputer + Standard Scaler + RF Regressor Select From Model,1.5746695031576528,-0.008544869432202494,"{'Imputer': {'categorical_impute_strategy': 'most_frequent', 'numeric_impute_strategy': 'mean', 'categorical_fill_value': None, 'numeric_fill_value': None}, 'RF Regressor Select From Model': {'number_features': None, 'n_estimators': 10, 'max_depth': None, 'percent_features': 0.5, 'threshold': 'median', 'n_jobs': -1}, 'Elastic Net Regressor': {'alpha': 0.0001, 'l1_ratio': 0.15, 'max_iter': 1000, 'normalize': False}}"
Elastic Net Regressor w/ Imputer + Standard Scaler,1.5747812655728552,-0.015642991605192953,"{'Imputer': {'categorical_impute_strategy': 'most_frequent', 'numeric_impute_strategy': 'mean', 'categorical_fill_value': None, 'numeric_fill_value': None}, 'Elastic Net Regressor': {'alpha': 0.0001, 'l1_ratio': 0.15, 'max_iter': 1000, 'normalize': False}}"
Random Forest Regressor w/ Imputer,1.5747838523051765,-0.015807277085348768,"{'Imputer': {'categorical_impute_strategy': 'most_frequent', 'numeric_impute_strategy': 'mean', 'categorical_fill_value': None, 'numeric_fill_value': None}, 'Random Forest Regressor': {'n_estimators': 100, 'max_depth': 6, 'n_jobs': -1}}"
Random Forest Regressor w/ Imputer + RF Regressor Select From Model,1.574967581350939,-0.027476058680539414,"{'Imputer': {'categorical_impute_strategy': 'most_frequent', 'numeric_impute_strategy': 'mean', 'categorical_fill_value': None, 'numeric_fill_value': None}, 'RF Regressor Select From Model': {'number_features': None, 'n_estimators': 10, 'max_depth': None, 'percent_features': 0.5, 'threshold': 'median', 'n_jobs': -1}, 'Random Forest Regressor': {'n_estimators': 100, 'max_depth': 6, 'n_jobs': -1}}"
LightGBM Regressor w/ Imputer + Select Columns Transformer,1.575900632511448,-0.08673489913189926,"{'Imputer': {'categorical_impute_strategy': 'most_frequent', 'numeric_impute_strategy': 'mean', 'categorical_fill_value': None, 'numeric_fill_value': None}, 'Select Columns Transformer': {'columns': [0, 4, 6, 7, 8, 9, 10, 12, 14, 17, 19, 21, 23, 25]}, 'LightGBM Regressor': {'boosting_type': 'gbdt', 'learning_rate': 0.1, 'n_estimators': 20, 'max_depth': 0, 'num_leaves': 31, 'min_child_samples': 20, 'n_jobs': -1, 'bagging_freq': 0, 'bagging_fraction': 0.9}}"
Decision Tree Regressor w/ Imputer + Select Columns Transformer,1.582516579842513,-0.5069191118735665,"{'Imputer': {'categorical_impute_strategy': 'most_frequent', 'numeric_impute_strategy': 'mean', 'categorical_fill_value': None, 'numeric_fill_value': None}, 'Select Columns Transformer': {'columns': [0, 4, 6, 7, 8, 9, 10, 12, 14, 17, 19, 21, 23, 25]}, 'Decision Tree Regressor': {'criterion': 'mse', 'max_features': 'auto', 'max_depth': 6, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0}}"
XGBoost Regressor w/ Imputer + Select Columns Transformer,1.5835685739302856,-0.573732114677278,"{'Imputer': {'categorical_impute_strategy': 'most_frequent', 'numeric_impute_strategy': 'mean', 'categorical_fill_value': None, 'numeric_fill_value': None}, 'Select Columns Transformer': {'columns': [0, 4, 6, 7, 8, 9, 10, 12, 14, 17, 19, 21, 23, 25]}, 'XGBoost Regressor': {'eta': 0.1, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 100, 'n_jobs': -1}}"
