iter	RMSE
0	1.572855851
1	1.57277095
2	1.572709465
3	1.572598467
4	1.572491021
5	1.572427131
6	1.572349527
7	1.57222938
8	1.572186815
9	1.572080176
10	1.57201762
11	1.571945243
12	1.571883841
13	1.57180618
14	1.571742334
15	1.571675604
16	1.571598746
17	1.57152931
18	1.571465792
19	1.571392542
20	1.5713379
21	1.571310975
22	1.571252973
23	1.571190411
24	1.571159827
25	1.571108152
26	1.571046806
27	1.570984143
28	1.570912895
29	1.570841101
30	1.570805199
31	1.570762986
32	1.570693813
33	1.570617582
34	1.57055072
35	1.570456922
36	1.570413101
37	1.570380628
38	1.570324469
39	1.570270044
40	1.570188988
41	1.570129543
42	1.570050278
43	1.570008609
44	1.56996256
45	1.569912836
46	1.569865645
47	1.569832768
48	1.569800093
49	1.569778056
50	1.569738688
51	1.569690159
52	1.569654547
53	1.569590613
54	1.569538652
55	1.56947642
56	1.569460875
57	1.569405242
58	1.569369025
59	1.569301144
60	1.569256525
61	1.569199814
62	1.56915093
63	1.569108947
64	1.569028111
65	1.568978582
66	1.568957015
67	1.568920925
68	1.568882168
69	1.568854531
70	1.568792188
71	1.568719368
72	1.568662968
73	1.568591614
74	1.568549092
75	1.568475251
76	1.568407913
77	1.568365244
78	1.568328291
79	1.568273841
80	1.568244371
81	1.568191025
82	1.568161993
83	1.568105601
84	1.568045519
85	1.56799758
86	1.567948093
87	1.567901155
88	1.567855105
89	1.567815477
90	1.56776369
91	1.567727804
92	1.567691014
93	1.567632111
94	1.567589287
95	1.567529932
96	1.567502569
97	1.567476559
98	1.567426772
99	1.567360614
100	1.567323956
101	1.567312046
102	1.567267362
103	1.567237451
104	1.567153706
105	1.567103303
106	1.567064361
107	1.567030831
108	1.56697298
109	1.566946207
110	1.566895553
111	1.566872876
112	1.566825146
113	1.566785221
114	1.566738882
115	1.566665533
116	1.566637375
117	1.566602514
118	1.566580324
119	1.566536776
120	1.566478798
121	1.566432579
122	1.566382622
123	1.566333896
124	1.566309513
125	1.566242171
126	1.566213283
127	1.566182797
128	1.5661191
129	1.566070182
130	1.566035926
131	1.565961073
132	1.565912661
133	1.565866539
134	1.565797709
135	1.565752662
136	1.565718517
137	1.565701839
138	1.565626681
139	1.565568472
140	1.565494643
141	1.565426257
142	1.565371407
143	1.565340235
144	1.565299844
145	1.56524856
146	1.565193924
147	1.565108409
148	1.565019998
149	1.564949662
150	1.564879207
151	1.564869122
152	1.564839628
153	1.564746338
154	1.564670147
155	1.564642672
156	1.564573134
157	1.564507021
158	1.564439719
159	1.564366965
160	1.56428961
161	1.564279386
162	1.564221866
163	1.564162098
164	1.564081577
165	1.563990149
166	1.56392952
167	1.563850636
168	1.563771377
169	1.563718368
170	1.563627536
171	1.563548207
172	1.563454005
173	1.563368316
174	1.563360102
175	1.563353802
176	1.563296864
177	1.56324489
178	1.563153199
179	1.563083638
180	1.562987333
181	1.562924697
182	1.562872864
183	1.562773386
184	1.562678444
185	1.562607875
186	1.562520686
187	1.562462601
188	1.562401566
189	1.562324189
190	1.562225487
191	1.562138534
192	1.562064432
193	1.562004616
194	1.561930014
195	1.561826441
196	1.561739682
197	1.56165942
198	1.561619172
199	1.561564216
200	1.561499618
201	1.561421813
202	1.561362422
203	1.561305367
204	1.561252106
205	1.561192882
206	1.561117575
207	1.561062401
208	1.560986148
209	1.560920045
210	1.560854666
211	1.560800079
212	1.560715935
213	1.560668428
214	1.560605875
215	1.560521314
216	1.560452148
217	1.560408552
218	1.56033876
219	1.560299442
220	1.560258087
221	1.560204911
222	1.560163506
223	1.560097335
224	1.560017284
225	1.559950877
226	1.559888305
227	1.559798125
228	1.55970613
229	1.55964753
230	1.559565777
231	1.559523214
232	1.559442224
233	1.559401901
234	1.559347727
235	1.559267704
236	1.559227555
237	1.559179501
238	1.55912571
239	1.55904305
240	1.558950835
241	1.558873761
242	1.558801783
243	1.55874966
244	1.5586689
245	1.558590992
246	1.558508676
247	1.558500631
248	1.558490233
249	1.558428203
250	1.558372785
251	1.558332306
252	1.55826554
253	1.558202995
254	1.558139435
255	1.558062653
256	1.558014455
257	1.557957683
258	1.557895029
259	1.557790512
260	1.557732549
261	1.557658765
262	1.557611126
263	1.557610365
264	1.557562986
265	1.557556644
266	1.557487093
267	1.557440856
268	1.557365051
269	1.557283265
270	1.557242048
271	1.557189979
272	1.557149647
273	1.557097283
274	1.556991605
275	1.556929602
276	1.556869573
277	1.556863557
278	1.556791456
279	1.556744637
280	1.556712132
281	1.556703112
282	1.556653457
283	1.556585087
284	1.556537709
285	1.556479666
286	1.556429409
287	1.556377296
288	1.556314631
289	1.556271127
290	1.556163097
291	1.556101749
292	1.556025798
293	1.555986559
294	1.555922026
295	1.555853599
296	1.555792209
297	1.555734132
298	1.555672859
299	1.555616132
300	1.555565739
301	1.555553796
302	1.555503246
303	1.555494833
304	1.555421657
305	1.555408723
306	1.555373775
307	1.555311113
308	1.555259356
309	1.555204114
310	1.555154299
311	1.555096202
312	1.555069144
313	1.555005147
314	1.55499872
315	1.554949356
316	1.554901147
317	1.554851277
318	1.554773376
319	1.554700235
320	1.554657645
321	1.554605975
322	1.554536017
323	1.554517241
324	1.554430331
325	1.554351543
326	1.554303983
327	1.554242643
328	1.554205323
329	1.554157833
330	1.55410628
331	1.554021739
332	1.553955123
333	1.553905887
334	1.553851635
335	1.55380061
336	1.553738411
337	1.553644689
338	1.553585779
339	1.553514323
340	1.55345235
341	1.553364318
342	1.553285851
343	1.553230256
344	1.553168644
345	1.553104268
346	1.553031231
347	1.552992345
348	1.552923007
349	1.552833766
350	1.552774421
351	1.552733228
352	1.552686692
353	1.552640856
354	1.552562411
355	1.552519406
356	1.552450583
357	1.552401662
358	1.55235237
359	1.552306159
360	1.552297302
361	1.552260032
362	1.552192251
363	1.55212126
364	1.552074773
365	1.552057736
366	1.55202192
367	1.55197593
368	1.551908325
369	1.551853708
370	1.551778818
371	1.551725936
372	1.551638279
373	1.551573993
374	1.551537196
375	1.551431971
376	1.551377262
377	1.551298721
378	1.551257729
379	1.551191116
380	1.551152297
381	1.551113258
382	1.551071974
383	1.551025779
384	1.550964972
385	1.550914514
386	1.550892645
387	1.55084776
388	1.550787076
389	1.550735948
390	1.550683688
391	1.550620908
392	1.550567431
393	1.550528243
394	1.550436033
395	1.550388166
396	1.550363484
397	1.550318751
398	1.550278295
399	1.550229179
400	1.550204154
401	1.550162976
402	1.550097376
403	1.550023797
404	1.549954016
405	1.549875956
406	1.549831166
407	1.549751102
408	1.549677386
409	1.549622859
410	1.549587802
411	1.549530288
412	1.54948377
413	1.549439468
414	1.549378112
415	1.549311456
416	1.549302647
417	1.549238601
418	1.54923786
419	1.549163899
420	1.549088955
421	1.549019704
422	1.548940773
423	1.54890978
424	1.548843042
425	1.548786403
426	1.54870978
427	1.548649195
428	1.54856249
429	1.548509217
430	1.548457142
431	1.548402614
432	1.548368516
433	1.548299024
434	1.548250683
435	1.548196435
436	1.548152834
437	1.548103544
438	1.548036846
439	1.547993919
440	1.547913053
441	1.547850705
442	1.54778792
443	1.547715848
444	1.547652688
445	1.547604625
446	1.547553956
447	1.547505445
448	1.547445288
449	1.547384684
450	1.547332426
451	1.547282059
452	1.547201273
453	1.54712515
454	1.547062773
455	1.547062082
456	1.547035763
457	1.54696807
458	1.546924254
459	1.546861591
460	1.54681106
461	1.54676743
462	1.546718667
463	1.546664872
464	1.546639732
465	1.546588519
466	1.546545917
467	1.546490836
468	1.546447956
469	1.546403129
470	1.546342678
471	1.546315268
472	1.546263808
473	1.546232189
474	1.546164588
475	1.546107175
476	1.546066139
477	1.54600074
478	1.545919547
479	1.545853872
480	1.545788627
481	1.545732243
482	1.545677549
483	1.545671806
484	1.545613516
485	1.545556663
486	1.545498848
487	1.545445073
488	1.545376919
489	1.54532445
490	1.545286628
491	1.545246462
492	1.545192579
493	1.545122483
494	1.545074024
495	1.545016729
496	1.544971456
497	1.544915989
498	1.54484916
499	1.544796134
500	1.544736349
501	1.544646995
502	1.544644132
503	1.54459748
504	1.544526411
505	1.544497466
506	1.544445284
507	1.544433093
508	1.544377389
509	1.544303544
510	1.544249855
511	1.544199257
512	1.544145137
513	1.544056964
514	1.543996003
515	1.543950008
516	1.543894344
517	1.543849121
518	1.543791591
519	1.543720713
520	1.543685683
521	1.543635878
522	1.543591798
523	1.543506037
524	1.543446465
525	1.543359526
526	1.54329275
527	1.543265495
528	1.543222778
529	1.543165955
530	1.543124397
531	1.543076535
532	1.543008513
533	1.543005708
534	1.543003244
535	1.542946855
536	1.542876675
537	1.542854062
538	1.542798606
