iter	Passed	Remaining
0	16	16912
1	30	15285
2	45	15161
3	60	15049
4	74	14906
5	90	14945
6	104	14894
7	122	15213
8	135	14924
9	149	14824
10	165	14879
11	179	14795
12	194	14752
13	209	14736
14	224	14743
15	239	14717
16	253	14685
17	268	14649
18	284	14693
19	299	14670
20	313	14632
21	328	14588
22	344	14623
23	359	14629
24	373	14573
25	388	14554
26	403	14540
27	417	14484
28	432	14470
29	447	14461
30	461	14422
31	476	14425
32	491	14407
33	507	14423
34	522	14393
35	537	14388
36	552	14391
37	566	14347
38	582	14353
39	597	14329
40	612	14314
41	627	14301
42	643	14329
43	659	14319
44	676	14349
45	691	14349
46	707	14352
47	721	14314
48	736	14297
49	750	14266
50	766	14256
51	781	14252
52	796	14234
53	811	14221
54	826	14195
55	841	14187
56	856	14162
57	870	14137
58	885	14116
59	899	14094
60	914	14077
61	930	14070
62	945	14064
63	959	14035
64	974	14021
65	989	14001
66	1003	13980
67	1018	13955
68	1033	13947
69	1048	13927
70	1064	13922
71	1079	13912
72	1094	13897
73	1108	13872
74	1123	13853
75	1139	13849
76	1155	13855
77	1172	13860
78	1189	13866
79	1205	13860
80	1222	13867
81	1238	13861
82	1254	13865
83	1272	13876
84	1288	13870
85	1304	13864
86	1320	13861
87	1337	13856
88	1353	13855
89	1369	13842
90	1385	13840
91	1401	13835
92	1418	13831
93	1434	13828
94	1451	13823
95	1468	13827
96	1484	13820
97	1499	13803
98	1515	13796
99	1530	13774
100	1547	13777
101	1563	13763
102	1579	13756
103	1595	13747
104	1611	13735
105	1627	13729
106	1644	13723
107	1660	13713
108	1676	13705
109	1692	13689
110	1706	13668
111	1721	13651
112	1737	13641
113	1752	13624
114	1767	13603
115	1781	13576
116	1796	13556
117	1809	13527
118	1824	13508
119	1841	13501
120	1856	13483
121	1872	13473
122	1887	13457
123	1906	13466
124	1921	13451
125	1937	13437
126	1952	13419
127	1966	13396
128	1981	13381
129	1996	13359
130	2010	13337
131	2025	13316
132	2039	13296
133	2054	13279
134	2070	13269
135	2085	13250
136	2100	13228
137	2114	13205
138	2127	13181
139	2141	13152
140	2156	13140
141	2172	13125
142	2186	13103
143	2202	13089
144	2216	13068
145	2230	13043
146	2244	13024
147	2257	12998
148	2272	12978
149	2287	12961
150	2302	12946
151	2316	12923
152	2330	12902
153	2345	12883
154	2361	12875
155	2375	12850
156	2388	12827
157	2402	12804
158	2417	12788
159	2432	12773
160	2448	12759
161	2461	12732
162	2476	12714
163	2491	12702
164	2506	12684
165	2521	12668
166	2535	12646
167	2550	12630
168	2564	12610
169	2579	12591
170	2596	12586
171	2612	12574
172	2626	12554
173	2642	12544
174	2655	12516
175	2668	12491
176	2681	12470
177	2697	12454
178	2713	12444
179	2729	12435
180	2746	12427
181	2762	12416
182	2777	12400
183	2792	12382
184	2807	12367
185	2821	12349
186	2836	12333
187	2851	12315
188	2867	12304
189	2880	12280
190	2895	12263
191	2910	12248
192	2928	12243
193	2943	12227
194	2960	12221
195	2974	12203
196	2989	12186
197	3004	12170
198	3019	12152
199	3033	12134
200	3048	12119
201	3062	12099
202	3077	12083
203	3092	12067
204	3108	12055
205	3123	12038
206	3137	12021
207	3152	12005
208	3167	11988
209	3183	11975
210	3197	11957
211	3213	11943
212	3228	11927
213	3242	11909
214	3256	11889
215	3272	11879
216	3287	11861
217	3303	11848
218	3317	11831
219	3332	11815
220	3347	11800
221	3361	11781
222	3375	11759
223	3391	11747
224	3406	11735
225	3421	11718
226	3436	11700
227	3451	11686
228	3468	11676
229	3482	11659
230	3498	11645
231	3513	11629
232	3528	11615
233	3543	11600
234	3557	11582
235	3573	11567
236	3588	11551
237	3602	11535
238	3618	11522
239	3635	11511
240	3651	11498
241	3667	11488
242	3683	11473
