iter	RMSE
0	0.5309498423
1	0.5309112034
2	0.5309598959
3	0.5309344225
4	0.5309719363
5	0.5308865119
6	0.5308694391
7	0.5308965267
8	0.5308603244
9	0.530909225
10	0.5308829961
11	0.5309341067
12	0.5308306355
13	0.5307992027
14	0.5308758545
15	0.530832258
16	0.5308876023
17	0.5308611954
18	0.530910112
19	0.5307777702
20	0.5307323168
21	0.5307458074
22	0.5305885937
23	0.5307845507
24	0.5306859825
25	0.5308320859
26	0.5304613231
27	0.5303699052
28	0.5309446571
29	0.5308904546
30	0.5309564023
31	0.5309236008
32	0.5309701708
33	0.5308527811
34	0.5308243557
35	0.5308682875
36	0.5307639669
37	0.5308927433
38	0.5308312186
39	0.5309262719
40	0.5306652924
41	0.5305493773
42	0.5308200301
43	0.530673201
44	0.5308510113
45	0.5307787879
46	0.5308933156
47	0.5304478934
48	0.5302373846
49	0.5302440676
50	0.5292327571
51	0.5304619584
52	0.5299040262
53	0.5306743339
54	0.5282085732
55	0.5273562059
56	0.5309274849
57	0.5308305526
58	0.5309458643
59	0.5308934869
60	0.5309648271
61	0.5307285947
62	0.5306879281
63	0.5307647043
64	0.5304973054
65	0.5308221365
66	0.5306614895
67	0.5308891575
68	0.5302387412
69	0.5298126158
70	0.5306306696
71	0.5301721467
72	0.5307180465
73	0.5304800217
74	0.5308196541
75	0.5295104284
76	0.5287550071
77	0.5287946878
78	0.5253749347
79	0.5294479467
80	0.5276631966
81	0.5301307145
82	0.5218926628
83	0.5189908262
84	0.5308880358
85	0.5307113143
86	0.5309169308
87	0.5308352699
88	0.5309496854
89	0.5305600865
90	0.530293973
91	0.5305830663
92	0.5299798041
93	0.5306871843
94	0.5303766515
95	0.5308205882
96	0.5293085421
97	0.5286241309
98	0.5303215261
99	0.5293210812
100	0.5304951031
101	0.5300096318
102	0.5306963354
103	0.5278791002
104	0.5266170176
105	0.5265397863
106	0.5199277795
107	0.5278159687
108	0.524226511
109	0.529274009
110	0.5128049818
111	0.5071847829
112	0.5306978501
113	0.5300767668
114	0.530790361
115	0.5305203145
116	0.5308863859
117	0.5294663937
118	0.5290205786
119	0.5297237883
120	0.5276111144
121	0.5301325901
122	0.5290568554
123	0.5305141452
124	0.5254482885
125	0.5236500213
126	0.5288319989
127	0.5253001921
128	0.5294260634
129	0.5278203644
130	0.5300947539
131	0.5208627705
132	0.517476703
133	0.5165161883
134	0.4967477363
135	0.5207739715
136	0.5099100056
137	0.525168878
138	0.4779995553
139	0.4637803228
140	0.5309498423
141	0.5309112034
142	0.5309598959
143	0.5309344225
144	0.5309719363
145	0.5308865119
146	0.5308694391
147	0.5308965267
148	0.5308603244
149	0.530909225
150	0.5308829961
151	0.5309341067
152	0.5308306355
153	0.5307992027
154	0.5308758545
155	0.530832258
156	0.5308876023
157	0.5308611954
158	0.530910112
159	0.5307777702
160	0.5307323168
161	0.5307458074
162	0.5305885937
163	0.5307845507
164	0.5306859825
165	0.5308320859
166	0.5304613231
167	0.5303699052
168	0.5309446571
169	0.5308904546
170	0.5309564023
171	0.5309236008
172	0.5309701708
173	0.5308527811
174	0.5308243557
175	0.5308682875
176	0.5307639669
177	0.5308927433
178	0.5308312186
179	0.5309262719
180	0.5306652924
181	0.5305493773
182	0.5308200301
183	0.530673201
184	0.5308510113
185	0.5307787879
186	0.5308933156
187	0.5304478934
188	0.5302373846
189	0.5302440676
190	0.5292327571
191	0.5304619584
192	0.5299040262
193	0.5306743339
194	0.5282085732
195	0.5273562059
196	0.5309274849
197	0.5308305526
198	0.5309458643
199	0.5308934869
200	0.5309648271
201	0.5307285947
202	0.5306879281
203	0.5307647043
204	0.5304973054
205	0.5308221365
206	0.5306614895
207	0.5308891575
208	0.5302387412
209	0.5298126158
210	0.5306306696
211	0.5301721467
212	0.5307180465
213	0.5304800217
214	0.5308196541
215	0.5295104284
216	0.5287550071
217	0.5287946878
218	0.5253749347
219	0.5294479467
220	0.5276631966
221	0.5301307145
222	0.5218926628
223	0.5189908262
224	0.5308880358
225	0.5307113143
226	0.5309169308
227	0.5308352699
228	0.5309496854
229	0.5305600865
230	0.530293973
231	0.5305830663
232	0.5299798041
233	0.5306871843
234	0.5303766515
235	0.5308205882
236	0.5293085421
237	0.5286241309
238	0.5303215261
239	0.5293210812
240	0.5304951031
241	0.5300096318
242	0.5306963354
243	0.5278791002
244	0.5266170176
245	0.5265397863
246	0.5199277795
247	0.5278159687
248	0.524226511
249	0.529274009
250	0.5128049818
251	0.5071847829
252	0.5306978501
253	0.5300767668
254	0.530790361
255	0.5305203145
256	0.5308863859
257	0.5294663937
258	0.5290205786
259	0.5297237883
260	0.5276111144
261	0.5301325901
262	0.5290568554
263	0.5305141452
264	0.5254482885
265	0.5236500213
266	0.5288319989
267	0.5253001921
268	0.5294260634
269	0.5278203644
270	0.5300947539
271	0.5208627705
272	0.517476703
273	0.5165161883
274	0.4967477363
275	0.5207739715
276	0.5099100056
277	0.525168878
278	0.4779995553
279	0.4637803228
280	0.5309498423
281	0.5309112034
282	0.5309598959
283	0.5309344225
284	0.5309719363
285	0.5308865119
286	0.5308694391
287	0.5308965267
288	0.5308603244
289	0.530909225
290	0.5308829961
291	0.5309341067
292	0.5308306355
293	0.5307992027
294	0.5308758545
295	0.530832258
296	0.5308876023
297	0.5308611954
298	0.530910112
299	0.5307777702
300	0.5307323168
301	0.5307458074
302	0.5305885937
303	0.5307845507
304	0.5306859825
305	0.5308320859
306	0.5304613231
307	0.5303699052
308	0.5309446571
309	0.5308904546
310	0.5309564023
311	0.5309236008
312	0.5309701708
313	0.5308527811
314	0.5308243557
315	0.5308682875
316	0.5307639669
317	0.5308927433
318	0.5308312186
319	0.5309262719
320	0.5306652924
321	0.5305493773
322	0.5308200301
323	0.530673201
324	0.5308510113
325	0.5307787879
326	0.5308933156
327	0.5304478934
328	0.5302373846
329	0.5302440676
330	0.5292327571
331	0.5304619584
332	0.5299040262
333	0.5306743339
334	0.5282085732
335	0.5273562059
336	0.5309274849
337	0.5308305526
338	0.5309458643
339	0.5308934869
340	0.5309648271
341	0.5307285947
342	0.5306879281
343	0.5307647043
344	0.5304973054
345	0.5308221365
346	0.5306614895
347	0.5308891575
348	0.5302387412
349	0.5298126158
350	0.5306306696
351	0.5301721467
352	0.5307180465
353	0.5304800217
354	0.5308196541
355	0.5295104284
356	0.5287550071
357	0.5287946878
358	0.5253749347
359	0.5294479467
360	0.5276631966
361	0.5301307145
362	0.5218926628
363	0.5189908262
364	0.5308880358
365	0.5307113143
366	0.5309169308
367	0.5308352699
368	0.5309496854
369	0.5305600865
370	0.530293973
371	0.5305830663
372	0.5299798041
373	0.5306871843
374	0.5303766515
375	0.5308205882
376	0.5293085421
377	0.5286241309
378	0.5303215261
379	0.5293210812
380	0.5304951031
381	0.5300096318
382	0.5306963354
383	0.5278791002
384	0.5266170176
385	0.5265397863
386	0.5199277795
387	0.5278159687
