iter	RMSE
0	0.519845581
1	0.5198268806
2	0.519803997
3	0.5197572472
4	0.5197388519
5	0.5197139941
6	0.5196883431
7	0.519656402
8	0.5196400223
9	0.5196233743
10	0.5196033748
11	0.5195877852
12	0.5195688964
13	0.5195592642
14	0.519548057
15	0.519526744
16	0.519502552
17	0.5194906783
18	0.5194806833
19	0.5194575816
20	0.5194356539
21	0.5194207579
22	0.5194006213
23	0.5193848835
24	0.5193755716
25	0.5193579468
26	0.5193412846
27	0.5193231681
28	0.5193034203
29	0.51929451
30	0.5192828695
31	0.5192532124
32	0.5192435402
33	0.5192340715
34	0.5192103925
35	0.5192046548
36	0.5191817126
37	0.5191644776
38	0.5191527699
39	0.5191440021
40	0.5191302763
41	0.519112715
42	0.5190996176
43	0.5190837925
44	0.5190758018
45	0.5190555343
46	0.5190469952
47	0.5190340075
48	0.519019779
49	0.5190017508
50	0.5189782355
51	0.5189685668
52	0.5189587535
53	0.5189427151
54	0.5189209824
55	0.5188961527
56	0.5188866833
57	0.5188798123
58	0.5188716712
59	0.5188486044
60	0.5188327151
61	0.5188206224
62	0.518809682
63	0.5188021483
64	0.5187912845
65	0.5187815751
66	0.5187707929
67	0.5187560169
68	0.5187447679
69	0.5187320863
70	0.5187165625
71	0.5187035089
72	0.5186882064
73	0.5186830431
74	0.5186657793
75	0.5186595452
76	0.5186484265
77	0.5186365247
78	0.5186315679
79	0.5186208579
80	0.5186147566
81	0.5186087851
82	0.5185959165
83	0.5185835949
84	0.5185664894
85	0.5185575387
86	0.5185471347
87	0.5185329047
88	0.5185202855
89	0.5185096553
90	0.5184904607
91	0.5184752976
92	0.5184674825
93	0.5184570347
94	0.5184484718
95	0.5184421115
96	0.5184385989
97	0.5184332988
98	0.5184262941
99	0.5184049402
100	0.5183975102
101	0.5183889368
102	0.5183768083
103	0.5183662325
104	0.5183507269
105	0.518340969
106	0.5183281439
107	0.5183118156
108	0.518302465
109	0.5182932707
110	0.5182824378
111	0.5182694939
112	0.5182541353
113	0.5182444884
114	0.518236091
115	0.5182311848
116	0.5182099086
117	0.5181987038
118	0.5181836493
119	0.5181688929
120	0.5181599061
121	0.5181501783
122	0.5181373236
123	0.5181264368
124	0.5181167776
125	0.5181044407
126	0.5180924777
127	0.5180843794
128	0.5180759193
129	0.5180639312
130	0.5180493167
131	0.5180378329
132	0.5180248102
133	0.5180057621
134	0.5179971172
135	0.5179900977
136	0.5179755188
137	0.5179670233
138	0.5179514524
139	0.5179449142
140	0.5179315843
141	0.5179207168
142	0.5179092214
143	0.517897496
144	0.5178881319
145	0.5178774521
146	0.517865132
147	0.5178564132
148	0.5178354672
149	0.5178129018
150	0.5178017156
151	0.5177946809
152	0.5177771455
153	0.5177618925
154	0.5177518606
155	0.517738069
156	0.5177196007
157	0.5177051672
158	0.5176922421
159	0.5176763718
160	0.5176678239
161	0.5176519284
162	0.5176403929
163	0.5176277357
164	0.5176207175
165	0.5176060581
166	0.5175979442
167	0.5175852289
168	0.5175765492
169	0.5175642393
170	0.51755619
171	0.5175427112
172	0.5175342925
173	0.5175231676
174	0.5175116877
175	0.5174879576
176	0.5174783166
