iter	RMSE
0	0.5198491826
1	0.5198240024
2	0.5197850655
3	0.5197556071
4	0.5197214368
5	0.5196942183
6	0.5196576362
7	0.5196419746
8	0.5196153137
9	0.5195867345
10	0.5195714944
11	0.5195514811
12	0.5195363025
13	0.5195255286
14	0.5195022541
15	0.51948658
16	0.5194708678
17	0.5194540706
18	0.519438627
19	0.5194249948
20	0.5194105145
21	0.5193921315
22	0.5193651636
23	0.5193545258
24	0.5193335803
25	0.5193138773
26	0.5192977433
27	0.5192815335
28	0.5192660574
29	0.5192453244
30	0.5192173636
31	0.5191996532
32	0.5191799294
33	0.5191660436
34	0.5191467995
35	0.5191377019
36	0.5191210889
37	0.5191102048
38	0.5191024455
39	0.5190844754
40	0.5190710236
41	0.5190477087
42	0.5190374911
43	0.5190265906
44	0.5190145908
45	0.5190082278
46	0.5189898852
47	0.5189746941
48	0.5189675041
49	0.5189597105
50	0.5189467765
51	0.518926447
52	0.5189196682
53	0.5189098944
54	0.5188970179
55	0.5188890677
56	0.5188704395
57	0.5188611951
58	0.5188483385
59	0.5188408898
60	0.5188271491
61	0.5188129763
62	0.5188025665
63	0.5187855597
64	0.5187756139
65	0.5187615081
66	0.5187510855
67	0.5187459061
68	0.5187253017
69	0.518713308
70	0.5187003996
71	0.5186958605
72	0.5186857874
73	0.5186815258
74	0.5186748896
75	0.518652022
76	0.5186373544
77	0.5186278072
78	0.5186143693
79	0.5186002634
80	0.5185865873
81	0.5185782179
82	0.5185714227
83	0.5185554476
84	0.5185501536
85	0.5185445121
86	0.5185346807
87	0.51852436
88	0.5185203191
89	0.5185061694
90	0.5184985183
91	0.5184908863
92	0.5184826157
93	0.5184696372
94	0.5184606901
95	0.5184574441
96	0.5184435459
97	0.518425329
98	0.5184140067
99	0.5183953999
100	0.5183838137
101	0.5183762903
102	0.5183604046
103	0.5183474327
104	0.5183340219
105	0.5183118866
106	0.5183027335
107	0.5182785432
108	0.5182683297
109	0.5182572924
110	0.5182493727
111	0.5182357815
112	0.5182180179
113	0.5182086106
114	0.5181911443
115	0.5181807661
116	0.5181685538
117	0.5181541189
118	0.5181449145
119	0.5181322467
120	0.5181240066
121	0.5181134302
122	0.5181034734
123	0.5180927093
124	0.5180780218
125	0.5180551582
126	0.5180448571
127	0.5180328978
