iter	Passed	Remaining
0	91	91473
1	167	83592
2	242	80594
3	308	76893
4	394	78504
5	459	76122
6	538	76358
7	606	75222
8	683	75282
9	767	75965
10	837	75331
11	907	74682
12	981	74542
13	1057	74468
14	1135	74589
15	1208	74296
16	1285	74322
17	1352	73780
18	1425	73601
19	1501	73593
20	1581	73729
21	1664	73972
22	1737	73799
23	1808	73527
24	1884	73509
25	1956	73309
26	2038	73446
27	2109	73245
28	2176	72882
29	2245	72602
30	2323	72642
31	2403	72711
32	2476	72572
33	2561	72777
34	2642	72849
35	2723	72934
36	2795	72747
37	2875	72803
38	2948	72643
39	3030	72732
40	3107	72676
41	3175	72442
42	3275	72900
43	3362	73066
44	3440	73012
45	3520	73011
46	3592	72843
47	3662	72647
48	3726	72333
49	3790	72021
50	3877	72157
51	3970	72386
52	4037	72145
53	4105	71925
54	4180	71826
55	4257	71775
56	4336	71737
57	4407	71582
58	4481	71475
59	4556	71378
60	4624	71190
61	4694	71022
62	4774	71005
63	4854	70991
64	4946	71151
65	5019	71032
66	5091	70904
67	5171	70878
68	5255	70905
69	5325	70758
70	5406	70740
71	5477	70599
72	5548	70463
73	5619	70317
74	5695	70249
75	5762	70065
76	5839	69993
77	5911	69882
78	5986	69794
79	6061	69702
80	6135	69615
81	6219	69632
82	6304	69656
83	6373	69506
84	6461	69555
85	6551	69632
86	6627	69547
87	6692	69360
88	6758	69183
89	6828	69042
90	6898	68910
91	6979	68881
92	7059	68850
93	7133	68751
94	7210	68693
95	7279	68544
96	7370	68617
97	7443	68511
98	7513	68377
99	7585	68268
100	7659	68178
101	7737	68121
102	7811	68028
103	7880	67894
104	7957	67825
105	8027	67699
106	8105	67646
107	8179	67557
108	8256	67488
109	8327	67380
110	8399	67273
111	8471	67167
112	8551	67128
113	8628	67056
114	8706	67002
115	8785	66952
116	8858	66856
117	8930	66754
118	8999	66627
119	9070	66515
120	9151	66480
121	9221	66365
122	9293	66266
123	9365	66163
124	9440	66084
125	9520	66041
126	9593	65947
127	9669	65873
128	9741	65777
129	9821	65726
130	9901	65679
131	9978	65619
132	10052	65529
133	10124	65429
134	10201	65367
135	10269	65238
136	10348	65187
137	10416	65062
138	10499	65038
139	10569	64923
140	10645	64852
141	10721	64781
142	10795	64699
143	10871	64625
144	10941	64514
145	11030	64522
146	11106	64447
147	11173	64324
148	11244	64221
149	11317	64133
150	11389	64040
151	11468	63982
152	11548	63933
153	11621	63843
154	11706	63819
155	11780	63732
156	11854	63650
157	11946	63664
158	12019	63576
159	12101	63530
160	12173	63439
161	12247	63356
162	12329	63311
163	12402	63222
164	12481	63163
165	12555	63081
166	12631	63004
167	12709	62943
168	12781	62851
169	12854	62758
170	12934	62706
171	13011	62636
172	13086	62558
173	13160	62474
174	13232	62380
175	13314	62335
176	13390	62260
177	13468	62197
178	13557	62181
179	13627	62079
180	13713	62052
181	13790	61981
182	13879	61965
183	13965	61934
184	14040	61853
185	14115	61772
186	14185	61670
187	14262	61601
188	14338	61527
189	14412	61442
190	14478	61323
191	14549	61227
192	14619	61127
193	14695	61054
194	14767	60964
195	14840	60877
196	14915	60796
197	14990	60719
198	15064	60634
199	15139	60558
200	15214	60480
201	15281	60369
202	15352	60275
203	15436	60230
204	15510	60149
205	15589	60087
206	15671	60037
207	15742	59944
208	15818	59869
209	15892	59786
210	15963	59691
211	16042	59629
212	16125	59579
213	16206	59526
214	16275	59426
215	16357	59371
216	16425	59268
217	16497	59179
218	16562	59064
219	16627	58952
220	16706	58888
221	16775	58788
222	16845	58696
223	16924	58632
224	17004	58572
225	17080	58495
226	17156	58422
227	17221	58310
228	17294	58228
229	17377	58176
230	17456	58112
231	17539	58061
232	17612	57976
233	17687	57898
234	17757	57807
235	17832	57727
236	17908	57655
237	17992	57605
238	18070	57539
239	18145	57462
240	18223	57391
241	18302	57326
242	18374	57241
243	18445	57150
244	18526	57093
245	18598	57004
246	18677	56941
247	18755	56872
248	18840	56824
249	18919	56757
250	18997	56689
251	19081	56637
252	19162	56579
253	19234	56490
254	19313	56424
255	19388	56346
256	19460	56260
257	19533	56178
258	19613	56114
259	19688	56035
260	19754	55932
261	19835	55872
262	19908	55789
263	19982	55708
264	20059	55636
265	20130	55549
266	20205	55470
267	20276	55383
268	20343	55283
269	20420	55210
270	20485	55106
271	20556	55017
272	20631	54940
273	20713	54882
274	20788	54806
275	20862	54727
276	20941	54660
277	21035	54630
278	21102	54534
279	21171	54442
280	21249	54372
281	21323	54290
282	21400	54218
283	21478	54149
284	21550	54066
285	21626	53989
286	21700	53910
287	21773	53828
288	21850	53756
289	21935	53704
290	22016	53642
291	22101	53588
292	22175	53509
293	22252	53436
294	22326	53355
295	22397	53270
296	22477	53203
297	22552	53127
298	22624	53041
299	22701	52970
300	22775	52889
301	22856	52826
302	22928	52742
303	23006	52673
304	23091	52617
305	23166	52542
306	23245	52472
307	23318	52389
308	23381	52287
309	23442	52179
310	23513	52092
311	23589	52017
312	23671	51956
313	23744	51874
314	23819	51797
315	23895	51723
316	23972	51650
317	24042	51563
318	24124	51500
319	24203	51432
320	24282	51364
321	24366	51306
322	24443	51233
323	24517	51153
324	24592	51075
325	24675	51015
326	24739	50915
327	24818	50847
328	24904	50792
329	24979	50715
330	25060	50650
331	25132	50568
332	25211	50498
333	25281	50410
334	25352	50327
335	25423	50241
336	25498	50165
337	25586	50112
338	25654	50023
339	25726	49940
340	25800	49861
341	25884	49800
342	25964	49732
343	26036	49651
344	26103	49558
345	26179	49483
346	26255	49408
347	26332	49335
348	26408	49260
349	26481	49179
350	26556	49103
351	26626	49016
352	26702	48942
353	26786	48881
354	26856	48795
355	26933	48722
356	27009	48647
357	27079	48561
358	27151	48479
359	27224	48398
360	27301	48325
361	27374	48246
362	27454	48177
363	27526	48096
364	27595	48009
365	27669	47930
366	27741	47848
367	27811	47762
368	27882	47679
369	27958	47605
370	28033	47527
371	28105	47447
372	28175	47362
373	28253	47290
374	28329	47216
375	28402	47136
376	28475	47056
377	28552	46982
378	28644	46934
379	28723	46864
380	28796	46784
381	28879	46721
382	28961	46655
383	29045	46593
384	29118	46513
385	29191	46434
386	29266	46357
387	29342	46281
388	29411	46195
389	29491	46127
390	29580	46072
391	29649	45986
392	29725	45911
393	29804	45841
394	29884	45772
395	29959	45695
396	30033	45618
397	30111	45546
398	30188	45472
399	30257	45386
400	30325	45299
401	30404	45227
402	30474	45144
403	30544	45060
404	30618	44982
405	30701	44918
406	30795	44869
407	30875	44799
408	30960	44737
409	31043	44672
410	31114	44589
411	31182	44502
412	31262	44434
413	31331	44348
414	31416	44286
415	31499	44221
416	31578	44148
417	31649	44066
418	31721	43985
419	31805	43922
420	31878	43843
421	31957	43771
422	32033	43695
423	32118	43632
424	32215	43585
425	32282	43497
426	32359	43424
427	32439	43353
428	32510	43271
429	32589	43200
430	32660	43117
431	32743	43051
432	32811	42965
433	32892	42896
434	32976	42832
435	33054	42758
436	33136	42690
437	33211	42613
438	33280	42528
439	33352	42449
440	33426	42370
441	33508	42302
442	33593	42238
443	33669	42163
444	33747	42089
445	33824	42014
446	33896	41934
447	33971	41857
448	34047	41782
449	34123	41706
450	34196	41627
451	34273	41552
452	34342	41468
453	34417	41391
454	34489	41312
455	34566	41237
456	34631	41148
457	34704	41069
458	34773	40985
459	34850	40911
460	34933	40843
461	35011	40771
462	35098	40708
463	35181	40640
464	35256	40563
465	35342	40500
466	35424	40431
467	35510	40366
468	35586	40291
469	35663	40215
470	35735	40135
471	35823	40073
472	35905	40004
473	35981	39928
474	36067	39863
475	36146	39791
476	36225	39719
477	36311	39654
478	36388	39579
479	36471	39510
480	36547	39434
481	36626	39361
482	36706	39290
483	36780	39211
484	36848	39128
485	36934	39062
486	37022	38999
487	37108	38933
488	37178	38850
489	37258	38779
490	37332	38701
491	37406	38623
492	37491	38556
493	37570	38482
494	37638	38398
495	37714	38322
496	37795	38251
497	37886	38191
498	37964	38117
499	38048	38048
500	38120	37968
501	38197	37893
502	38287	37830
503	38375	37766
504	38452	37691
505	38535	37621
506	38621	37555
507	38698	37479
508	38776	37405
509	38854	37331
510	38943	37267
511	39035	37206
512	39112	37130
513	39197	37062
514	39272	36985
515	39351	36910
516	39443	36849
517	39514	36768
518	39598	36699
519	39674	36622
520	39754	36549
521	39842	36484
522	39916	36405
523	39998	36334
524	40075	36258
525	40151	36182
526	40228	36106
527	40308	36033
528	40389	35961
529	40469	35887
530	40544	35810
531	40621	35734
532	40694	35655
533	40767	35576
534	40850	35505
535	40923	35425
536	40991	35342
537	41062	35261
538	41139	35186
539	41207	35102
540	41276	35020
541	41353	34944
542	41428	34866
543	41511	34796
544	41599	34730
545	41674	34652
546	41745	34571
547	41841	34511
548	41917	34435
549	41999	34363
550	42073	34285
551	42148	34207
552	42229	34134
553	42308	34061
554	42389	33988
555	42477	33920
556	42555	33845
557	42649	33783
558	42727	33708
559	42802	33630
560	42887	33560
561	42965	33485
562	43032	33401
563	43110	33326
564	43187	33250
565	43267	33176
566	43353	33107
567	43431	33032
568	43512	32959
569	43590	32884
570	43671	32811
571	43747	32734
572	43819	32654
573	43902	32582
574	43985	32511
575	44061	32434
576	44142	32361
577	44227	32290
578	44302	32212
579	44376	32134
580	44447	32054
581	44518	31974
582	44590	31893
583	44663	31815
584	44741	31739
585	44811	31658
586	44893	31586
587	44967	31507
588	45045	31432
589	45115	31351
590	45190	31274
591	45266	31197
592	45335	31115
593	45422	31046
594	45506	30974
595	45582	30898
596	45664	30825
597	45736	30745
598	45821	30675
599	45901	30600
600	45986	30529
601	46063	30453
602	46144	30380
603	46216	30301
604	46298	30227
605	46379	30154
606	46460	30080
607	46542	30007
608	46623	29934
609	46706	29861
610	46777	29781
611	46856	29706
612	46943	29636
613	47031	29567
614	47111	29492
615	47186	29414
616	47271	29343
617	47351	29268
618	47425	29190
619	47497	29111
620	47572	29033
621	47643	28953
622	47715	28874
623	47794	28799
624	47875	28725
625	47955	28650
626	48038	28577
627	48112	28499
628	48179	28417
629	48255	28340
630	48336	28266
631	48412	28189
632	48488	28112
633	48569	28038
634	48647	27962
635	48722	27885
636	48800	27809
637	48873	27730
638	48954	27656
639	49025	27576
640	49107	27503
641	49188	27428
642	49277	27359
643	49360	27286
644	49437	27209
645	49511	27131
646	49582	27051
647	49662	26977
648	49738	26900
649	49812	26821
650	49882	26741
651	49950	26660
652	50023	26582
653	50097	26504
654	50170	26425
655	50243	26347
656	50318	26269
657	50394	26192
658	50467	26114
659	50553	26042
660	50631	25966
661	50717	25894
662	50797	25820
663	50878	25745
664	50960	25671
665	51044	25599
666	51117	25520
667	51197	25445
668	51282	25372
669	51365	25299
670	51445	25224
671	51531	25152
672	51614	25078
673	51693	25003
674	51763	24923
675	51846	24849
676	51931	24776
677	52005	24698
678	52082	24622
679	52160	24546
680	52239	24470
681	52326	24398
682	52409	24324
683	52485	24247
684	52563	24171
685	52646	24097
686	52726	24022
687	52801	23944
688	52884	23870
689	52995	23809
690	53083	23737
691	53165	23663
692	53249	23589
693	53323	23511
694	53400	23434
695	53478	23358
696	53546	23277
697	53627	23202
698	53697	23122
699	53786	23051
700	53863	22974
701	53944	22899
702	54011	22818
703	54084	22739
704	54168	22666
705	54251	22591
706	54322	22512
707	54394	22434
708	54466	22355
709	54547	22279
710	54627	22204
711	54717	22133
712	54803	22059
713	54884	21984
714	54963	21908
715	55035	21829
716	55108	21751
717	55183	21673
718	55260	21597
719	55337	21520
720	55424	21447
721	55507	21372
722	55590	21298
723	55678	21225
724	55772	21154
725	55852	21079
726	55929	21002
727	56011	20927
728	56101	20855
729	56178	20778
730	56264	20704
731	56354	20632
732	56431	20555
733	56501	20476
734	56578	20399
735	56651	20320
736	56731	20244
737	56804	20166
738	56886	20091
739	56969	20016
740	57049	19940
741	57129	19864
742	57212	19789
743	57300	19716
744	57381	19640
745	57455	19562
746	57545	19489
747	57630	19415
748	57715	19341
749	57792	19264
750	57872	19188
751	57965	19116
752	58049	19041
753	58138	18968
754	58217	18891
755	58304	18818
756	58391	18744
757	58474	18668
758	58561	18594
759	58645	18519
760	58732	18445
761	58810	18368
762	58887	18291
763	58965	18214
764	59046	18138
765	59124	18061
766	59206	17985
767	59289	17910
768	59362	17831
769	59443	17755
770	59517	17677
771	59596	17601
772	59686	17527
773	59778	17454
774	59866	17380
775	59950	17305
776	60029	17228
