iter	RMSE
0	0.8613580906
1	0.8613421894
2	0.8613350709
3	0.8613217579
4	0.8613091111
5	0.8613046008
6	0.861301308
7	0.8612979732
8	0.861276516
9	0.8612623062
10	0.8612474174
11	0.8612402927
12	0.8612338468
13	0.8612234099
14	0.8612143211
15	0.8612025994
16	0.8611880154
17	0.8611758752
18	0.8611562006
19	0.8611504606
20	0.8611467909
21	0.8611379029
22	0.8611242926
23	0.8611091325
24	0.8610977545
25	0.8610950691
26	0.8610781291
27	0.861056435
28	0.8610532654
29	0.8610372256
30	0.8610348733
31	0.8610177511
32	0.861009719
33	0.8609990255
34	0.8609837089
35	0.8609732497
36	0.8609661223
37	0.860950957
38	0.8609485707
39	0.860940442
40	0.8609306711
41	0.8609273054
42	0.8609218857
43	0.8609150413
44	0.860908666
45	0.8609067029
46	0.8608995712
47	0.860888293
48	0.8608813534
49	0.8608690056
50	0.860865022
51	0.8608569452
52	0.8608507574
53	0.8608492682
54	0.8608325483
55	0.8608273504
56	0.8608219087
57	0.8608133625
58	0.8608054286
59	0.8607928388
60	0.8607785071
61	0.8607742302
62	0.8607668809
63	0.8607626102
64	0.8607572201
65	0.8607536862
66	0.8607486939
67	0.8607447523
68	0.8607358093
69	0.8607265393
70	0.8607195336
71	0.8607153458
72	0.8607119901
73	0.8607060847
74	0.8606966778
75	0.8606932829
76	0.8606799863
77	0.8606686907
78	0.860659972
79	0.8606475312
80	0.8606431106
81	0.8606353921
82	0.8606269564
83	0.8606199635
84	0.8606126413
85	0.8606089
86	0.8605997384
87	0.8605873108
88	0.8605831438
89	0.8605798513
90	0.8605785019
91	0.8605717488
92	0.8605691098
93	0.860559408
94	0.8605428286
95	0.8605334821
96	0.8605289819
97	0.8605185178
98	0.8605102591
99	0.8605038045
100	0.8604900668
101	0.8604757572
102	0.860467656
103	0.8604566629
104	0.8604503407
105	0.8604380983
106	0.8604252632
107	0.8604117952
108	0.8604001105
109	0.8603874382
110	0.8603791252
111	0.8603682739
112	0.8603569887
113	0.8603529254
114	0.8603469942
115	0.8603363524
116	0.8603276365
117	0.8603204488
118	0.8603157165
119	0.8603038576
120	0.8602997682
121	0.8602944639
122	0.8602820869
123	0.8602770608
124	0.8602662241
125	0.8602619925
126	0.8602547754
127	0.8602512071
128	0.8602455554
129	0.8602439804
130	0.8602392055
131	0.8602322297
132	0.8602246492
133	0.8602146779
134	0.8602064403
135	0.8602037677
136	0.860194238
137	0.8601821948
138	0.8601759747
139	0.8601629641
140	0.8601506158
141	0.8601465019
142	0.8601424991
143	0.8601277154
144	0.8601142497
145	0.8601107289
146	0.8601057315
147	0.8600962211
148	0.8600880456
149	0.8600829491
150	0.8600693675
151	0.8600625957
152	0.8600624331
153	0.8600544632
154	0.8600492908
155	0.8600440878
156	0.8600354712
157	0.8600243263
158	0.8600216464
159	0.8600134067
160	0.8600044831
161	0.8599957035
162	0.859984327
163	0.8599757892
164	0.8599624876
165	0.859953469
166	0.8599492987
167	0.859946355
168	0.8599341488
169	0.8599300018
170	0.8599265893
171	0.8599164362
172	0.8599038958
173	0.8598913887
174	0.859881069
175	0.8598753106
176	0.8598747777
177	0.859874662
178	0.8598725313
179	0.8598705799
180	0.8598576378
181	0.8598456661
182	0.8598328109
183	0.8598271048
184	0.8598265456
185	0.8598181297
186	0.8598123343
187	0.859801505
188	0.8597967738
189	0.8597917898
190	0.8597844952
191	0.8597808463
192	0.8597804557
193	0.8597755783
194	0.8597682857
195	0.8597544392
196	0.8597435934
197	0.8597393631
198	0.8597327603
199	0.8597281788
200	0.8597244122
201	0.8597201802
202	0.8597075028
203	0.8597026882
204	0.8596958763
205	0.8596912477
206	0.8596807614
207	0.8596747468
208	0.8596718368
209	0.8596663955
210	0.859648679
211	0.8596384296
212	0.859629884
213	0.859618533
214	0.8596110519
215	0.8596087877
216	0.8595999575
217	0.8595969382
218	0.8595968665
219	0.8595921507
